rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-7.849457561160025,7.849457561160025,7.849457561160025,0.002222681641576947
2,-5.781634061399449,5.781634061399449,13.631091622559474,0.0038598306784957967
3,-5.577353519744063,5.577353519744063,19.20844514230354,0.005439134876311941
4,-5.217665237835096,5.217665237835096,24.426110380138635,0.006916588400414618
5,-4.871385215718057,4.871385215718057,29.29749559585669,0.008295987983591133
6,-4.770082296358181,4.770082296358181,34.06757789221487,0.009646702254776984
7,-4.537370748033747,4.537370748033747,38.604948640248615,0.010931521057108649
8,-4.517847965899576,4.517847965899576,43.12279660614819,0.01221081171573051
9,-4.347881154175754,4.347881154175754,47.470677760323944,0.013441973938832796
10,-4.190975774442143,4.190975774442143,51.66165353476609,0.014628706250150579
11,-4.079976677365713,4.079976677365713,55.7416302121318,0.015784007643678044
12,-4.054489238222191,4.054489238222191,59.79611945035399,0.016932091918999095
13,-4.028282978383537,4.028282978383537,63.82440242873753,0.018072755532168156
14,-4.000309496300038,4.000309496300038,67.82471192503756,0.019205498069951622
15,-3.9817256505990994,3.9817256505990994,71.80643757563666,0.02033297833676317
16,-3.9749286884644373,3.9749286884644373,75.7813662641011,0.021458533950458564
17,-3.9570217891659216,3.9570217891659216,79.73838805326702,0.022579018979846925
18,-3.938590395652405,3.938590395652405,83.67697844891943,0.02369428490719263
19,-3.9345973672032253,3.9345973672032253,87.61157581612265,0.024808420153728975
20,-3.9154942060934976,3.9154942060934976,91.52707002221615,0.025917146078007845
