width,seed,step,train_loss,train_acc
1,1,250,1.25132417678833,53.90625
1,1,500,1.736262321472168,36.71875
1,1,750,1.2374876737594604,53.515625
1,1,1000,0.33862894773483276,93.75
1,1,1500,1.6375044584274292,41.796875
1,1,2000,0.043982721865177155,100.0
2,1,250,1.2599897384643555,52.5390625
2,1,500,0.9202890396118164,66.796875
2,1,750,0.4996071755886078,86.71875
2,1,1000,0.2802744209766388,95.703125
2,1,1500,0.4571561813354492,87.890625
2,1,2000,0.03280608355998993,100.0
4,1,250,1.5184712409973145,42.578125
4,1,500,0.7910448312759399,70.3125
4,1,750,0.3687814176082611,93.1640625
4,1,1000,0.44213154911994934,88.8671875
4,1,1500,0.2159176766872406,98.046875
4,1,2000,0.012807612307369709,100.0
