metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.45073148261871
e_H,early,0.0,2.0,6.564171922224914
e_pred,early,0.0,2.0,6.568940413874123
e_U,early,0.0,2.0,13.12837548694657
e_euc,mid,2.0,10.0,2.0943575533365233
e_H,mid,2.0,10.0,2.0769745608180474
e_pred,mid,2.0,10.0,2.076106236733837
e_U,mid,2.0,10.0,46.424662643957774
e_euc,full,0.0,10.0,3.15849947278981
e_H,full,0.0,10.0,3.1522719401796158
e_pred,full,0.0,10.0,3.1519309530465702
e_U,full,0.0,10.0,80.60376468458647
e_euc,long,5.0,10.0,0.06564875443128468
e_H,long,5.0,10.0,0.058684853968505056
e_pred,long,5.0,10.0,0.05834084834791419
e_U,long,5.0,10.0,12.382007824977695
