metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,0.8909501761002696
e_H,early,0.0,2.0,1.0314224923545023
e_pred,early,0.0,2.0,1.1024009645361679
e_U,early,0.0,2.0,2.062844984709007
e_euc,mid,2.0,10.0,0.6291175416106777
e_H,mid,2.0,10.0,0.6341794106337558
e_pred,mid,2.0,10.0,0.6385947725176113
e_U,mid,2.0,10.0,1.2683588212797532
e_euc,full,0.0,10.0,0.6543931665601698
e_H,full,0.0,10.0,0.6745493196173493
e_pred,full,0.0,10.0,0.6880692739882746
e_U,full,0.0,10.0,1.349098639242951
e_euc,long,5.0,10.0,0.6225236134365145
e_H,long,5.0,10.0,0.623822655500767
e_pred,long,5.0,10.0,0.6250283411950283
e_U,long,5.0,10.0,1.2476453110278827
