metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,12.524992497110611
e_H,early,0.0,2.0,12.481762716214408
e_pred,early,0.0,2.0,12.48139988677469
e_U,early,0.0,2.0,340.79103276611175
e_euc,mid,2.0,10.0,-0.0
e_H,mid,2.0,10.0,-0.0
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,-0.0
e_euc,full,0.0,10.0,0.6462003800284167
e_H,full,0.0,10.0,0.6429704246132708
e_pred,full,0.0,10.0,0.6429450403177366
e_U,full,0.0,10.0,16.828574868702766
e_euc,long,5.0,10.0,-0.0
e_H,long,5.0,10.0,-5.758396685826964e-31
e_pred,long,5.0,10.0,-1.1516793371653927e-30
e_U,long,5.0,10.0,-1.8426869394646284e-29
