width,step,time,D_euc,e_euc,D_H,e_H,U_gap,e_U,D_pred,e_pred,grad_norm,theta_norm,max_abs_theta,nan_or_inf
128,0,0.0,1.2993344836863316,1.0,27.576949429059848,1.0,380.2440699064622,1.0,1.218334591690685,1.0,667.88446485783,0.0,0.0,0.0
128,904,0.019981138720224105,0.018647875266688325,0.01435186666775947,0.24025892289980197,0.00871230965984307,0.028862175016513447,7.590433960906576e-05,0.01060844547266252,0.008707333391840382,3.1433260574403024,1.2903010929021348,0.27558252715652937,0.0
128,1808,0.03996227744044821,0.0008691561081983303,0.0006689240677523269,0.010432831925188617,0.00037831711415457645,5.442199102390077e-05,1.431238389524083e-07,0.00046059012816844974,0.00037804896233742163,0.12614508130510912,1.2990671150578952,0.2776412462849578,0.0
128,2712,0.059943416160672315,5.3208602286534396e-05,4.09506581673848e-05,0.0006209907630716514,2.2518471982157246e-05,1.928147526086832e-07,5.070815506895729e-10,2.7413934256722186e-05,2.2501153988150187e-05,0.007272722392215129,1.2993232890436435,0.27770251861236694,0.0
128,3616,0.07992455488089642,3.641965753409776e-06,2.80294704645811e-06,4.1861908741054884e-05,1.518003608366556e-06,8.762128800299251e-10,2.3043433136129337e-12,1.8479508441571967e-06,1.516784351983959e-06,0.00048230542957722577,1.2993339022918662,0.2777053373256603,0.0
128,4520,0.09990569360112053,2.6660825640562793e-07,2.0518831736785416e-07,3.032431322434679e-06,1.0996253701793369e-07,4.604316927725449e-12,1.2108846112598375e-14,1.3386032056955512e-07,1.098715586691148e-07,3.4549055661975325e-05,1.2993344494356394,0.27770552767947815,0.0
128,5424,0.11988683232134463,2.0425046160968415e-08,1.5719621404198153e-08,2.3067123346269708e-07,8.364639245398982e-09,5.684341886080802e-14,1.4949192731602932e-16,1.0182328364660947e-08,8.357579628869367e-09,2.607962662059596e-06,1.2993344815074048,0.2777055428369528,0.0
128,6328,0.13986797104156873,1.6110711625043864e-09,1.2399202689777224e-09,1.811450539656214e-08,6.568712555810673e-10,0.0,0.0,7.996051768329983e-10,6.563100007883589e-10,2.0380999108556832e-07,1.2993344835401894,0.27770554409580156,0.0
128,7232,0.15984910976179284,1.2930135540107783e-10,9.951352559676395e-11,1.4501142735128076e-09,5.2584288818570924e-11,0.0,0.0,6.401012728243017e-11,5.253903789565985e-11,1.6269140746560586e-08,1.2993344836761234,0.2777055442008574,0.0
128,8136,0.17983024848201695,1.0479445469133345e-11,8.065240783421827e-12,1.1735976962683016e-10,4.25571979702583e-12,2.842170943040401e-14,7.474596365801466e-17,5.180411175626471e-12,4.2520430848455236e-12,1.314614247888932e-09,1.2993344836855947,0.27770554420959354,0.0
128,9040,0.19981138720224106,8.548141155150552e-13,6.578861149670013e-13,9.565626730524972e-12,3.4687037285005033e-13,0.0,0.0,4.22238275527604e-13,3.465700460344504e-13,1.0705092554336214e-10,1.2993344836862772,0.2777055442103161,0.0
128,9944,0.21979252592246515,7.544636291555109e-14,5.806538952272152e-14,8.484618980941004e-13,3.0767068717180663e-14,0.0,0.0,3.7452572779989443e-14,3.0740794060535084e-14,9.705918101154712e-12,1.2993344836863276,0.27770554421037463,0.0
128,10848,0.23977366464268926,2.733156693247014e-14,2.1035050847667774e-14,3.4026135542618494e-13,1.2338614765983748e-14,0.0,0.0,1.502300876150904e-14,1.233077420929302e-14,4.865517408885506e-12,1.2993344836863305,0.2777055442103772,0.0
128,11752,0.25975480336291334,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,12656,0.27973594208313746,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,13560,0.29971708080336157,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,14464,0.3196982195235857,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,15368,0.3396793582438098,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,16272,0.3596604969640339,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,17176,0.379641635684258,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,18080,0.39962277440448213,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,18984,0.4196039131247062,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,19888,0.4395850518449303,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,20792,0.4595661905651544,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,21696,0.4795473292853785,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,22600,0.49952846800560263,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,23504,0.5195096067258267,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,24408,0.5394907454460508,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,25312,0.5594718841662749,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,26216,0.579453022886499,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,27120,0.5994341616067231,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,28024,0.6194153003269472,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,28928,0.6393964390471714,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,29832,0.6593775777673955,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
128,30736,0.6793587164876196,2.7247979575984835e-14,2.097071994786116e-14,3.395885162746427e-13,1.2314216158977811e-14,0.0,0.0,1.499333345791772e-14,1.230641694012106e-14,4.870329082532675e-12,1.2993344836863305,0.2777055442103772,0.0
