metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,9.090113485205318
e_H,early,0.0,2.0,9.068726265498684
e_pred,early,0.0,2.0,9.068589278191386
e_U,early,0.0,2.0,238.53783858645292
e_euc,mid,2.0,10.0,-7.53108923399052e-31
e_H,mid,2.0,10.0,-7.53108923399052e-31
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,-0.0
e_euc,full,0.0,10.0,0.42450371227394224
e_H,full,0.0,10.0,0.42316366194152893
e_pred,full,0.0,10.0,0.42315595233886516
e_U,full,0.0,10.0,10.883394668278612
e_euc,long,5.0,10.0,1.1516793371653927e-30
e_H,long,5.0,10.0,5.758396685826964e-31
e_pred,long,5.0,10.0,5.758396685826964e-31
e_U,long,5.0,10.0,-1.8426869394646284e-29
