metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,4.958908443993151
e_H,early,0.0,2.0,4.9528392854700245
e_pred,early,0.0,2.0,4.952811518024396
e_U,early,0.0,2.0,144.31743875316346
e_euc,mid,2.0,10.0,-7.53108923399052e-31
e_H,mid,2.0,10.0,-0.0
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,-0.0
e_euc,full,0.0,10.0,0.21412958643070748
e_H,full,0.0,10.0,0.2137609261205481
e_pred,full,0.0,10.0,0.21375953361047842
e_U,full,0.0,10.0,6.265030757100516
e_euc,long,5.0,10.0,1.1516793371653927e-30
e_H,long,5.0,10.0,-0.0
e_pred,long,5.0,10.0,1.1516793371653927e-30
e_U,long,5.0,10.0,-1.8426869394646284e-29
