metric,threshold,tau
e_euc,0.5,0.019981138720224105
e_H,0.5,0.019981138720224105
e_pred,0.5,0.019981138720224105
e_U,0.5,0.019981138720224105
e_euc,0.1,0.03996227744044821
e_H,0.1,0.03996227744044821
e_pred,0.1,0.03996227744044821
e_U,0.1,0.019981138720224105
e_euc,0.01,0.09990569360112053
e_H,0.01,0.07992455488089642
e_pred,0.01,0.07992455488089642
e_U,0.01,0.03996227744044821
