metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.537900393511406
e_H,early,0.0,2.0,6.647239006534652
e_pred,early,0.0,2.0,6.651938594830003
e_U,early,0.0,2.0,13.294463891877747
e_euc,mid,2.0,10.0,2.1000367878502857
e_H,mid,2.0,10.0,2.0797802100460387
e_pred,mid,2.0,10.0,2.0787805636208
e_U,mid,2.0,10.0,56.03305697376846
e_euc,full,0.0,10.0,3.164266041585727
e_H,full,0.0,10.0,3.1560530752518634
e_pred,full,0.0,10.0,3.155628921404353
e_U,full,0.0,10.0,82.95639376454889
e_euc,long,5.0,10.0,0.0682617873901505
e_H,long,5.0,10.0,0.06045357076844261
e_pred,long,5.0,10.0,0.06007512265234562
e_U,long,5.0,10.0,23.29675821347867
