metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.2111049629092925
e_H,early,0.0,2.0,2.355822540226852
e_pred,early,0.0,2.0,2.3753883337923236
e_U,early,0.0,2.0,4.711645080455497
e_euc,mid,2.0,10.0,1.7870002634173745
e_H,mid,2.0,10.0,1.7932133596164486
e_pred,mid,2.0,10.0,1.794448236180071
e_U,mid,2.0,10.0,53.01787986066942
e_euc,full,0.0,10.0,1.8340775177693462
e_H,full,0.0,10.0,1.8500930255387538
e_pred,full,0.0,10.0,1.8527781292083831
e_U,full,0.0,10.0,36.315687598823956
e_euc,long,5.0,10.0,1.7571011764519255
e_H,long,5.0,10.0,1.760386647011094
e_pred,long,5.0,10.0,1.7610617214877025
e_U,long,5.0,10.0,118.02597755043651
