metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.5738072735630895
e_H,early,0.0,2.0,1.6993795370345952
e_pred,early,0.0,2.0,1.7270277668927279
e_U,early,0.0,2.0,3.3987590740692046
e_euc,mid,2.0,10.0,1.120237316044414
e_H,mid,2.0,10.0,1.1384498335107922
e_pred,mid,2.0,10.0,1.1450440034901705
e_U,mid,2.0,10.0,2.2769000348127553
e_euc,full,0.0,10.0,1.182079132113063
e_H,full,0.0,10.0,1.2093743339595768
e_pred,full,0.0,10.0,1.2178517887298888
e_U,full,0.0,10.0,2.41874890758994
e_euc,long,5.0,10.0,1.059509074795463
e_H,long,5.0,10.0,1.0747038024125333
e_pred,long,5.0,10.0,1.0806677145779122
e_U,long,5.0,10.0,2.149408492712427
