metric,threshold,tau
e_euc,0.5,0.6662626867438647
e_H,0.5,0.4802283001855129
e_pred,0.5,0.4326381082752368
e_U,0.5,0.2163190541376184
e_euc,0.1,2.8467587524510582
e_H,0.1,2.362204071182793
e_pred,0.1,2.1545377792106795
e_U,0.1,0.9258455517090067
e_euc,0.01,6.480918861963048
e_H,0.01,5.870899129294964
e_pred,0.01,5.5507469291712885
e_U,0.01,2.362204071182793
