metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,12.318038258203648
e_H,early,0.0,2.0,12.284978239588273
e_pred,early,0.0,2.0,12.284687394266928
e_U,early,0.0,2.0,329.3003710170814
e_euc,mid,2.0,10.0,-0.0
e_H,mid,2.0,10.0,1.8794009028933837e-31
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,3.007041444629414e-30
e_euc,full,0.0,10.0,0.6329479992572371
e_H,full,0.0,10.0,0.6302136825905063
e_pred,full,0.0,10.0,0.6301916854526809
e_U,full,0.0,10.0,16.093943491274292
e_euc,long,5.0,10.0,1.5329028834519074e-30
e_H,long,5.0,10.0,1.5329028834519074e-30
e_pred,long,5.0,10.0,-1.5329028834519074e-30
e_U,long,5.0,10.0,4.9052892270461036e-29
