metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,4.7390344844905945
e_H,early,0.0,2.0,4.724451817469475
e_pred,early,0.0,2.0,4.724414445718748
e_U,early,0.0,2.0,111.74102280637116
e_euc,mid,2.0,10.0,9.397004514466919e-32
e_H,mid,2.0,10.0,-0.0
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,3.007041444629414e-30
e_euc,full,0.0,10.0,0.20368072520177524
e_H,full,0.0,10.0,0.20296215818691615
e_pred,full,0.0,10.0,0.2029604021226298
e_U,full,0.0,10.0,4.7488808524461135
e_euc,long,5.0,10.0,-0.0
e_H,long,5.0,10.0,-0.0
e_pred,long,5.0,10.0,-0.0
e_U,long,5.0,10.0,4.9052892270461036e-29
