metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,8.51020353861914
e_H,early,0.0,2.0,8.494193614552112
e_pred,early,0.0,2.0,8.49410226407489
e_U,early,0.0,2.0,236.168479050252
e_euc,mid,2.0,10.0,-7.517603611573535e-31
e_H,mid,2.0,10.0,-0.0
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,3.007041444629414e-30
e_euc,full,0.0,10.0,0.3917673688211626
e_H,full,0.0,10.0,0.3907774466631289
e_pred,full,0.0,10.0,0.3907723317398099
e_U,full,0.0,10.0,10.84585751824434
e_euc,long,5.0,10.0,-1.5329028834519074e-30
e_H,long,5.0,10.0,-0.0
e_pred,long,5.0,10.0,-1.5329028834519074e-30
e_U,long,5.0,10.0,4.9052892270461036e-29
