width,m,seed,checkpoint,step,p,train_loss,train_acc,curv_loss,curv_acc,gamma_emp,sqrt_m_gamma_emp,T_neg_top20,T_neg_SLQ,T_neg_used,r_eff_top20,r_eff_neg,r_eff_over_p,r_eff_top20_over_p,r_eff_over_sqrt_m,E_iso,E_aniso,E_aniso_over_E_iso,E_aniso_top20_over_E_iso,k50,k80,k90,local_gamma_max,local_gamma_mean,local_gamma_std
1,64,2,final,1000,76490,0.3751809000968933,92.7734375,0.3913266658782959,92.1875,4.262087841901014,34.09670273520811,44.414393261762356,398.1592121238379,398.1592121238379,10.420806634982975,93.41881887311065,0.0012213206807832483,0.00013623750339891456,11.677352359138832,326007.0990270086,398.1592121238379,0.001221320680783248,0.00013623750339891456,9,16,18,nan,nan,nan
2,128,2,final,1000,300426,0.7747130393981934,76.171875,0.821036696434021,75.0,2.7029450864464946,30.580332796818805,35.06522471475687,550.2571252969776,550.2571252969776,12.97296970278312,203.57687918121533,0.000677627366410415,4.318191402469533e-05,17.99382397022898,812034.9805407745,550.2571252969776,0.000677627366410415,4.318191402469533e-05,9,16,18,nan,nan,nan
4,256,2,final,1000,1190666,0.45968911051750183,89.2578125,0.4528666138648987,92.1875,3.0922912592496745,49.47666014799479,32.50459148797694,1259.3394684131545,1259.3394684131545,10.511490918182131,407.2512460287216,0.00034203651236259505,8.828244795922728e-06,25.4532028767951,3681886.064485773,1259.3394684131545,0.00034203651236259505,8.828244795922728e-06,10,16,18,nan,nan,nan
