metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.0156018054394658
e_H,early,0.0,2.0,1.0686779710144862
e_pred,early,0.0,2.0,1.090402258711933
e_U,early,0.0,2.0,2.137355942028961
e_euc,mid,2.0,10.0,0.8767855391829638
e_H,mid,2.0,10.0,0.8820119529084991
e_pred,mid,2.0,10.0,0.8846915290024108
e_U,mid,2.0,10.0,1.7640239038786063
e_euc,full,0.0,10.0,0.8943316726090625
e_H,full,0.0,10.0,0.9045965096521387
e_pred,full,0.0,10.0,0.9094284955880357
e_U,full,0.0,10.0,1.8091930180219797
e_euc,long,5.0,10.0,0.8647610557669833
e_H,long,5.0,10.0,0.8679377719761634
e_pred,long,5.0,10.0,0.8696241265685649
e_U,long,5.0,10.0,1.7358755394889456
