metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.3363450938916674
e_H,early,0.0,2.0,2.4974515179804744
e_pred,early,0.0,2.0,2.518944779000588
e_U,early,0.0,2.0,4.994903035954045
e_euc,mid,2.0,10.0,1.645359028261163
e_H,mid,2.0,10.0,1.6548473767528693
e_pred,mid,2.0,10.0,1.656889359814619
e_U,mid,2.0,10.0,4.737493665733879
e_euc,full,0.0,10.0,1.7236357443533152
e_H,full,0.0,10.0,1.7473072111842394
e_pred,full,0.0,10.0,1.7515259603050035
e_U,full,0.0,10.0,4.415736221292956
e_euc,long,5.0,10.0,1.6067136417327623
e_H,long,5.0,10.0,1.6100973202833508
e_pred,long,5.0,10.0,1.610871099054911
e_U,long,5.0,10.0,6.787511102366272
