metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.430060671007321
e_H,early,0.0,2.0,6.528488818227575
e_pred,early,0.0,2.0,6.5326536521867276
e_U,early,0.0,2.0,13.057073019363246
e_euc,mid,2.0,10.0,2.0982047049717405
e_H,mid,2.0,10.0,2.0846692876635635
e_pred,mid,2.0,10.0,2.083981098883494
e_U,mid,2.0,10.0,34.01232816034472
e_euc,full,0.0,10.0,3.167746836123545
e_H,full,0.0,10.0,3.1641446511151616
e_pred,full,0.0,10.0,3.1639322206291034
e_U,full,0.0,10.0,77.54557504678797
e_euc,long,5.0,10.0,0.06746277088743573
e_H,long,5.0,10.0,0.06096079912981124
e_pred,long,5.0,10.0,0.060629980419558284
e_U,long,5.0,10.0,-1.0803546700953114e-29
