metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.6759642885066566
e_H,early,0.0,2.0,1.8618010854812623
e_pred,early,0.0,2.0,1.900578995010605
e_U,early,0.0,2.0,3.723602170962757
e_euc,mid,2.0,10.0,0.9477255051709234
e_H,mid,2.0,10.0,0.9631870648217062
e_pred,mid,2.0,10.0,0.9697957476556768
e_U,mid,2.0,10.0,1.9263744201942257
e_euc,full,0.0,10.0,1.0310519377491478
e_H,full,0.0,10.0,1.0674408839835696
e_pred,full,0.0,10.0,1.079478275412162
e_U,full,0.0,10.0,2.1348819599700453
e_euc,long,5.0,10.0,0.9135103479681086
e_H,long,5.0,10.0,0.9177123420198924
e_pred,long,5.0,10.0,0.9197503178841349
e_U,long,5.0,10.0,1.835425355423465
