rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-3.4680291749872283,3.4680291749872283,3.4680291749872283,0.06621566570582345
2,-3.00226518876605,3.00226518876605,6.470294363753278,0.1235384211005487
3,-2.8023391825023225,2.8023391825023225,9.272633546255602,0.17704395555257296
4,-2.7325908136103134,2.7325908136103134,12.005224359865915,0.22921777263861032
5,-2.6902471917168,2.6902471917168,14.695471551582715,0.28058311581321205
6,-2.667055912187615,2.667055912187615,17.36252746377033,0.33150566397799375
7,-2.6556059274667922,2.6556059274667922,20.01813339123712,0.3822095956541717
8,-2.6191429939063275,2.6191429939063275,22.637276385143448,0.4322173343926699
9,-2.607651223904515,2.607651223904515,25.244927609047963,0.4820056588291501
10,-2.574921574680776,2.574921574680776,27.81984918372874,0.5311690705551783
11,-2.535570418555702,2.535570418555702,30.355419602284442,0.5795811440231812
12,-2.5224196365046105,2.5224196365046105,32.87783923878905,0.6277421273924196
13,-2.4991099375592354,2.4991099375592354,35.37694917634828,0.6754580547499607
14,-2.4751594634038123,2.4751594634038123,37.852108639752096,0.7227166916666918
15,-2.448735432014964,2.448735432014964,40.30084407176706,0.7694708100973435
16,-2.441757533012546,2.441757533012546,42.74260160477961,0.8160916983259526
17,-2.4235251345577082,2.4235251345577082,45.166126739337315,0.8623644722971016
18,-2.417767348483986,2.417767348483986,47.5838940878213,0.9085273118880517
19,-2.4016249955763023,2.4016249955763023,49.985519083397605,0.95438194281353
20,-2.3892345042904273,2.3892345042904273,52.37475358768803,1.0
