width,n_seeds,checkpoint,p_mean,train_loss_mean,train_acc_mean,curv_loss_mean,curv_acc_mean,gamma_emp_mean,sqrt_m_gamma_emp_mean,T_neg_top20_mean,T_neg_SLQ_mean,r_eff_neg_mean,r_eff_top20_mean,r_eff_over_p_mean,r_eff_over_sqrt_m_mean,r_eff_top20_over_p_mean,E_iso_mean,E_aniso_mean,E_aniso_top20_over_E_iso_mean,E_aniso_over_E_iso_mean,p_std,train_loss_std,train_acc_std,curv_loss_std,curv_acc_std,gamma_emp_std,sqrt_m_gamma_emp_std,T_neg_top20_std,T_neg_SLQ_std,r_eff_neg_std,r_eff_top20_std,r_eff_over_p_std,r_eff_over_sqrt_m_std,r_eff_top20_over_p_std,E_iso_std,E_aniso_std,E_aniso_top20_over_E_iso_std,E_aniso_over_E_iso_std,T_SLQ_over_T_top20_mean,T_SLQ_over_T_top20_std
1,3,final,76490.0,0.034041278064250946,100.0,0.03531911472479502,100.0,3.5090103784021687,28.07208302721735,12.547664360527468,59.35778973799585,26.481725994260625,5.166727518078468,0.00034621160928566643,3.310215749282578,6.754775157639519e-05,268404.2038439819,59.35778973799585,6.754775157639519e-05,0.00034621160928566643,0.0,0.01410679522012681,0.0,0.014667517878767036,0.0,3.1331487928651525,25.06519034292122,3.9304128574887383,30.290245457938152,17.370005256563495,2.6734324777374505,0.0002270885770239704,2.171250657070437,3.495139858461826e-05,239654.55116625552,30.290245457938152,3.495139858461826e-05,0.0002270885770239704,4.736217320254054,1.7004229391654175
2,3,final,300426.0,0.03949590492993593,100.0,0.04101354877154032,100.0,0.7953744727959611,8.998634932747189,7.881461247083399,168.31934193379618,249.15864993026568,10.103616891496975,0.0008293511544615502,22.022721369621994,3.363096699851868e-05,238951.17136419943,168.31934193379618,3.363096699851868e-05,0.0008293511544615503,0.0,0.028651445103260932,0.0,0.02928101714676013,0.0,0.32538537594144107,3.6813152932340327,3.428048736907378,37.52010266628466,154.56302501181833,2.8998818745773915,0.0005144795224508476,13.661570388320335,9.652566271152938e-06,97754.22695258338,37.52010266628466,9.652566271152936e-06,0.0005144795224508475,26.21782649249589,16.83272679859709
4,3,final,1190666.0,0.20726628073801598,93.75,0.20675361466904482,94.53125,1.2465128295085797,19.944205272137275,11.200275616121544,784.0368664178237,450.7479764180694,9.275429114618964,0.0003785679413186145,28.17174852612934,7.790118399802266e-06,1484180.4446596624,784.0368664178237,7.790118399802264e-06,0.00037856794131861443,0.0,0.3403343165476058,10.825317547305483,0.339276714797236,9.472152853892299,1.2264589270720134,19.623342833152215,11.169360171045598,1130.3059042799714,330.28889053476564,2.4529369578504556,0.0002773984396419866,20.643055658422853,2.0601385760998094e-06,1460302.9448611261,1130.3059042799714,2.0601385760998094e-06,0.0002773984396419866,47.35186896906257,35.31597213944271
