width,n_seeds,checkpoint,gamma_emp_mean,sqrt_m_gamma_emp_mean,T_neg_top20_mean,T_neg_SLQ_mean,r_eff_top20_mean,r_eff_top20_over_p_mean,E_aniso_top20_over_E_iso_mean,E_aniso_over_E_iso_mean,gamma_emp_std,sqrt_m_gamma_emp_std,T_neg_top20_std,T_neg_SLQ_std,r_eff_top20_std,r_eff_top20_over_p_std,E_aniso_top20_over_E_iso_std,E_aniso_over_E_iso_std,T_SLQ_over_T_top20_mean,T_SLQ_over_T_top20_std
1,3,final,11.302007281247725,90.4160582499818,122.45402897004266,nan,11.4634383056318,0.0001498684573883096,0.0001498684573883096,0.0001498684573883096,14.424382093674842,115.39505674939873,151.98875829207392,nan,1.3392757277047644,1.750916103679912e-05,1.750916103679912e-05,1.750916103679912e-05,nan,nan
2,3,final,6.471539831347143,73.21711519143058,52.773880500054965,nan,11.325060541542898,3.769667253015018e-05,3.769667253015018e-05,3.769667253015018e-05,6.399473615570228,72.40177903350562,23.931521679629903,nan,4.810789908603068,1.601322757884826e-05,1.601322757884826e-05,1.601322757884826e-05,nan,nan
4,3,final,5.3115220518379225,84.98435282940676,63.44134610002059,nan,12.648979981615403,1.0623449381787507e-05,1.0623449381787507e-05,1.0623449381787507e-05,2.066513521923395,33.06421635077432,10.554647967521424,nan,2.7178985723181595,2.282670851706658e-06,2.282670851706658e-06,2.282670851706658e-06,nan,nan
