metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,3.643845720745116
e_H,early,0.0,2.0,3.7664030279037477
e_pred,early,0.0,2.0,3.776040386685034
e_U,early,0.0,2.0,7.532806056703612
e_euc,mid,2.0,10.0,3.1322419427220427
e_H,mid,2.0,10.0,3.1316659802936555
e_pred,mid,2.0,10.0,3.131623783184778
e_U,mid,2.0,10.0,115.42614172248048
e_euc,full,0.0,10.0,3.186787905511163
e_H,full,0.0,10.0,3.1952824208962123
e_pred,full,0.0,10.0,3.196022548993675
e_U,full,0.0,10.0,100.57222427441712
e_euc,long,5.0,10.0,3.0677070887917584
e_H,long,5.0,10.0,3.0616667610783868
e_pred,long,5.0,10.0,3.061082807479318
e_U,long,5.0,10.0,6.331122150571849
