metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.410102628724074
e_H,early,0.0,2.0,6.533411090113966
e_pred,early,0.0,2.0,6.538702889312219
e_U,early,0.0,2.0,13.066838033782265
e_euc,mid,2.0,10.0,2.1194687085891926
e_H,mid,2.0,10.0,2.1027471652116345
e_pred,mid,2.0,10.0,2.101901815078751
e_U,mid,2.0,10.0,-59.33744250847456
e_euc,full,0.0,10.0,3.163577252308948
e_H,full,0.0,10.0,3.1580313381312237
e_pred,full,0.0,10.0,3.1577167042706127
e_U,full,0.0,10.0,-11.124216687015123
e_euc,long,5.0,10.0,0.07648645670482837
e_H,long,5.0,10.0,0.06946738412552
e_pred,long,5.0,10.0,0.06911628135172912
e_U,long,5.0,10.0,-73.51682325368975
