rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-0.9367271415148846,0.9367271415148846,0.9367271415148846,0.004852810740555224
2,-0.8462528572262442,0.8462528572262442,1.7829799987411288,0.009236910200011111
3,-0.7869593208561418,0.7869593208561418,2.5699393195972706,0.01331383343131053
4,-0.7526650181740338,0.7526650181740338,3.3226043377713044,0.01721309152084151
5,-0.6990132593345558,0.6990132593345558,4.02161759710586,0.020834401187606773
6,-0.6833848722672903,0.6833848722672903,4.7050024693731505,0.024374746397107645
7,-0.670951353676104,0.670951353676104,5.3759538230492545,0.027850678492171987
8,-0.6672242713204359,0.6672242713204359,6.04317809436969,0.031307302055984344
9,-0.6513924819613367,0.6513924819613367,6.694570576331027,0.0346819074161608
10,-0.648979767861222,0.648979767861222,7.343550344192249,0.03804401346423236
11,-0.6433283351312498,0.6433283351312498,7.9868786793235,0.041376841687165655
12,-0.6409305634481465,0.6409305634481465,8.627809242771646,0.044697248008713296
13,-0.6317580010026466,0.6317580010026466,9.259567243774292,0.04797013493258239
14,-0.6212690336266725,0.6212690336266725,9.880836277400965,0.05118868268842318
15,-0.6199897527896802,0.6199897527896802,10.500826030190645,0.05440060299907655
16,-0.616986979413883,0.616986979413883,11.117813009604527,0.05759696713521153
17,-0.6110304701389452,0.6110304701389452,11.728843479743473,0.06076247296597182
18,-0.6061173510335183,0.6061173510335183,12.334960830776991,0.0639025258808212
19,-0.5997183188315879,0.5997183188315879,12.934679149608579,0.06700942795502293
20,-0.5964274558569752,0.5964274558569752,13.531106605465554,0.07009928137708134
