metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,4.7207004352267665
e_H,early,0.0,2.0,4.719422455833419
e_pred,early,0.0,2.0,4.719408358378723
e_U,early,0.0,2.0,-44.867901696642015
e_euc,mid,2.0,10.0,-9.401139889785219e-32
e_H,mid,2.0,10.0,3.7604559559140876e-31
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,-0.0
e_euc,full,0.0,10.0,0.2029425402929156
e_H,full,0.0,10.0,0.20280834991976163
e_pred,full,0.0,10.0,0.20280760929733652
e_U,full,0.0,10.0,-2.126166692899164
e_euc,long,5.0,10.0,7.66778917952389e-31
e_H,long,5.0,10.0,-1.533557835904778e-30
e_pred,long,5.0,10.0,-0.0
e_U,long,5.0,10.0,-0.0
