metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,8.320989408201884
e_H,early,0.0,2.0,8.313240456631352
e_pred,early,0.0,2.0,8.313177451458476
e_U,early,0.0,2.0,209.28535388071492
e_euc,mid,2.0,10.0,-0.0
e_H,mid,2.0,10.0,-0.0
e_pred,mid,2.0,10.0,-0.0
e_U,mid,2.0,10.0,-3.00836476473127e-30
e_euc,full,0.0,10.0,0.3822766596903371
e_H,full,0.0,10.0,0.38166771186826665
e_pred,full,0.0,10.0,0.381663919571519
e_U,full,0.0,10.0,9.37457722763343
e_euc,long,5.0,10.0,-0.0
e_H,long,5.0,10.0,-0.0
e_pred,long,5.0,10.0,-0.0
e_U,long,5.0,10.0,2.453692537447645e-29
