metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,12.989274387062293
e_H,early,0.0,2.0,12.9253843297454
e_pred,early,0.0,2.0,12.92488307768408
e_U,early,0.0,2.0,-9.953055978122263
e_euc,mid,2.0,10.0,-0.0
e_H,mid,2.0,10.0,-1.8802279779570438e-31
e_pred,mid,2.0,10.0,-9.401139889785219e-32
e_U,mid,2.0,10.0,-3.7604559559140876e-31
e_euc,full,0.0,10.0,0.6773281945995714
e_H,full,0.0,10.0,0.6728638962061153
e_pred,full,0.0,10.0,0.6728300642816528
e_U,full,0.0,10.0,-0.9501061273694833
e_euc,long,5.0,10.0,-7.66778917952389e-31
e_H,long,5.0,10.0,1.533557835904778e-30
e_pred,long,5.0,10.0,7.66778917952389e-31
e_U,long,5.0,10.0,1.533557835904778e-30
