rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-2.2306907709435775,2.2306907709435775,2.2306907709435775,0.009959882958556116
2,-2.1374450626713495,2.1374450626713495,4.368135833614927,0.01950343015561795
3,-2.03642119684051,2.03642119684051,6.404557030455437,0.028595912645369224
4,-1.741242123156491,1.741242123156491,8.145799153611929,0.036370440596552055
5,-1.569350952521436,1.569350952521436,9.715150106133365,0.04337748613222725
6,-1.5056331270694137,1.5056331270694137,11.220783233202779,0.05010003589998057
7,-1.4750866398103295,1.4750866398103295,12.695869873013109,0.05668619767444569
8,-1.4562195383150793,1.4562195383150793,14.152089411328188,0.0631881191207095
9,-1.437958357909948,1.437958357909948,15.590047769238137,0.06960850563533273
10,-1.400183817957572,1.400183817957572,16.99023158719571,0.07586023139175511
11,-1.3614142498908097,1.3614142498908097,18.35164583708652,0.08193885365695025
12,-1.325929373441536,1.325929373441536,19.677575210528055,0.08785903835615137
13,-1.293451368908404,1.293451368908404,20.971026579436458,0.09363421096847298
14,-1.2634742147605955,1.2634742147605955,22.234500794197054,0.09927553762122372
15,-1.254624437300607,1.254624437300607,23.48912523149766,0.104877350617999
16,-1.2515759954413723,1.2515759954413723,24.74070122693903,0.11046555252868405
17,-1.2310600302607784,1.2310600302607784,25.97176125719981,0.11596215204667436
18,-1.219069325347222,1.219069325347222,27.19083058254703,0.12140521388069464
19,-1.1967813311445865,1.1967813311445865,28.387611913691615,0.12674876133265411
20,-1.184823893404389,1.184823893404389,29.572435807096003,0.13203891963631573
