width,seed,step,train_loss,train_acc
1,0,250,1.3741953372955322,48.6328125
1,0,250,1.2681617736816406,53.90625
1,0,500,1.06899094581604,59.765625
1,0,750,1.005035638809204,64.84375
1,0,1000,0.3337380290031433,94.53125
1,0,1500,1.2038013935089111,56.8359375
1,0,2000,0.0402454137802124,100.0
2,0,250,1.4546782970428467,46.484375
2,0,500,1.4239013195037842,50.1953125
2,0,750,0.48155516386032104,88.0859375
2,0,1000,0.9804410934448242,66.6015625
2,0,1500,0.11900673061609268,100.0
2,0,2000,0.014781235717236996,100.0
4,0,250,1.2015295028686523,56.25
4,0,500,0.881485641002655,70.1171875
4,0,750,0.37018832564353943,94.3359375
4,0,1000,0.9785289764404297,65.234375
4,0,1500,0.037901267409324646,100.0
4,0,2000,0.008747721090912819,100.0
