rank,lambda,eta,cum_eta,cum_eta_over_Tneg
1,-3.2047104399716306,3.2047104399716306,3.2047104399716306,0.0009350771452678106
2,-2.5765792905368774,2.5765792905368774,5.781289730508508,0.0016868768640507382
3,-2.4362879603475434,2.4362879603475434,8.217577690856052,0.0023977420837591012
4,-2.4055306990494096,2.4055306990494096,10.623108389905461,0.0030996328851449245
5,-2.3444006532883863,2.3444006532883863,12.967509043193846,0.0037836870333444418
6,-2.333630487520365,2.333630487520365,15.301139530714211,0.00446459863994806
7,-2.2908163380163074,2.2908163380163074,17.59195586873052,0.005133017844056907
8,-2.2786573413971642,2.2786573413971642,19.870613210127683,0.005797889270586182
9,-2.2666331162332827,2.2666331162332827,22.137246326360966,0.006459252243434257
10,-2.2568335259096894,2.2568335259096894,24.394079852270657,0.007117755871228786
11,-2.2425970358702947,2.2425970358702947,26.63667688814095,0.007772105546048772
12,-2.2208946739045885,2.2208946739045885,28.85757156204554,0.008420122860097766
13,-2.1827154087722964,2.1827154087722964,31.040286970817835,0.009057000147951869
14,-2.174330331316117,2.174330331316117,33.21461730213395,0.00969143082028877
15,-2.17023806620579,2.17023806620579,35.38485536833974,0.010324667442913936
16,-2.1643899014412393,2.1643899014412393,37.54924526978098,0.010956197675737113
17,-2.154436992321299,2.154436992321299,39.703682262102284,0.011584823827826225
18,-2.1465798224059705,2.1465798224059705,41.85026208450825,0.012211157398369536
19,-2.1225770350818634,2.1225770350818634,43.97283911959011,0.01283048738519759
20,-2.090073884472444,2.090073884472444,46.06291300406256,0.013440333534451749
