metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,5.966564257715754
e_H,early,0.0,2.0,6.0918639467863365
e_pred,early,0.0,2.0,6.097491784440716
e_U,early,0.0,2.0,12.183729624864835
e_euc,mid,2.0,10.0,2.3262002629833205
e_H,mid,2.0,10.0,2.3084891758860375
e_pred,mid,2.0,10.0,2.307550193635895
e_U,mid,2.0,10.0,61.11056555521623
e_euc,full,0.0,10.0,3.2480664427136894
e_H,full,0.0,10.0,3.241266039357005
e_pred,full,0.0,10.0,3.2408672817948228
e_U,full,0.0,10.0,85.4346454241915
e_euc,long,5.0,10.0,0.2390484312240251
e_H,long,5.0,10.0,0.2264017027479666
e_pred,long,5.0,10.0,0.22573541141968645
e_U,long,5.0,10.0,9.195970531382304
