metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.041851700428909
e_H,early,0.0,2.0,2.193340811512227
e_pred,early,0.0,2.0,2.2162426891511995
e_U,early,0.0,2.0,4.38668162302294
e_euc,mid,2.0,10.0,1.6136257451096512
e_H,mid,2.0,10.0,1.6199437125051437
e_pred,mid,2.0,10.0,1.6213642759384226
e_U,mid,2.0,10.0,3.2184545684442645
e_euc,full,0.0,10.0,1.659412829496054
e_H,full,0.0,10.0,1.6764306964406108
e_pred,full,0.0,10.0,1.6796302992606147
e_U,full,0.0,10.0,3.338867587980991
e_euc,long,5.0,10.0,1.5864662260596487
e_H,long,5.0,10.0,1.5899224398983276
e_pred,long,5.0,10.0,1.5907269133120323
e_U,long,5.0,10.0,3.1283390709725896
