metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,3.735144915084994
e_H,early,0.0,2.0,3.8618268584461655
e_pred,early,0.0,2.0,3.87161016829873
e_U,early,0.0,2.0,7.723653717864346
e_euc,mid,2.0,10.0,3.070009004775054
e_H,mid,2.0,10.0,3.072659853826366
e_pred,mid,2.0,10.0,3.0729494301687015
e_U,mid,2.0,10.0,112.33274782366561
e_euc,full,0.0,10.0,3.148938094669427
e_H,full,0.0,10.0,3.1612505660588095
e_pred,full,0.0,10.0,3.1623649272137264
e_U,full,0.0,10.0,97.76729743318688
e_euc,long,5.0,10.0,2.993971010111071
e_H,long,5.0,10.0,2.9899548453147213
e_pred,long,5.0,10.0,2.989556660446882
e_U,long,5.0,10.0,12.59568487873891
