width,m,seed,checkpoint,step,p,train_loss,train_acc,curv_loss,curv_acc,gamma_emp,sqrt_m_gamma_emp,T_neg_top20,T_neg_SLQ,T_neg_used,r_eff_top20,r_eff_neg,r_eff_over_p,r_eff_top20_over_p,r_eff_over_sqrt_m,E_iso,E_aniso,E_aniso_over_E_iso,E_aniso_top20_over_E_iso,k50,k80,k90,local_gamma_max,local_gamma_mean,local_gamma_std
1,64,2,final,1000,76490,1.3662564754486084,47.4609375,1.3541944026947021,48.4375,2.422892751037743,19.383142008301945,31.520670521867686,nan,31.520670521867686,13.009519512725912,13.009519512725912,0.00017008131144889414,0.00017008131144889414,1.626189939090739,185327.06652687697,31.520670521867686,0.00017008131144889414,0.00017008131144889414,9,16,18,nan,nan,nan
2,128,2,final,1000,300426,0.7191690802574158,77.34375,0.7351639270782471,76.5625,3.114704723611237,35.23886130334843,43.552002859098565,nan,43.552002859098565,13.982706780822452,13.982706780822452,4.654293163981297e-05,4.654293163981297e-05,1.2359083480078343,935738.2812956295,43.552002859098565,4.654293163981297e-05,4.654293163981297e-05,9,16,18,nan,nan,nan
4,256,2,final,1000,1190666,0.3426268696784973,93.1640625,0.3577485680580139,92.96875,4.921160016834796,78.73856026935674,64.55327476880026,nan,64.55327476880026,13.11749151581537,13.11749151581537,1.1016936332955985e-05,1.1016936332955985e-05,0.8198432197384606,5859457.91260462,64.55327476880026,1.1016936332955985e-05,1.1016936332955985e-05,10,16,18,nan,nan,nan
