metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.5453555525264495
e_H,early,0.0,2.0,1.6580813871207716
e_pred,early,0.0,2.0,1.6840300160974624
e_U,early,0.0,2.0,3.3161627742413846
e_euc,mid,2.0,10.0,1.1787715639363345
e_H,mid,2.0,10.0,1.1871698223741702
e_pred,mid,2.0,10.0,1.189985948865929
e_U,mid,2.0,10.0,2.3743360462240326
e_euc,full,0.0,10.0,1.2209021038210293
e_H,full,0.0,10.0,1.2394147682087904
e_pred,full,0.0,10.0,1.2447518750550841
e_U,full,0.0,10.0,2.478827176464812
e_euc,long,5.0,10.0,1.1523468264280654
e_H,long,5.0,10.0,1.1578367137738206
e_pred,long,5.0,10.0,1.159766232972421
e_U,long,5.0,10.0,2.315664912230069
