metric,threshold,tau
e_euc,0.5,0.10538183865378319
e_H,0.5,0.07903637899033739
e_pred,0.5,0.07903637899033739
e_U,0.5,0.03512727955126106
e_euc,0.1,0.4742182739420243
e_H,0.1,0.3864000750638717
e_pred,0.1,0.382009165119964
e_U,0.1,0.1492909380928595
e_euc,0.01,1.0977274859769082
e_H,0.01,0.9835638274353098
e_pred,0.01,0.9747820075474944
e_U,0.01,0.3864000750638717
