metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,0.959135839857463
e_H,early,0.0,2.0,1.0770884976157362
e_pred,early,0.0,2.0,1.1292143354532482
e_U,early,0.0,2.0,2.154176995231479
e_euc,mid,2.0,10.0,0.6944004401269842
e_H,mid,2.0,10.0,0.7035670743951407
e_pred,mid,2.0,10.0,0.7102397367774161
e_U,mid,2.0,10.0,1.4071341488899023
e_euc,full,0.0,10.0,0.7251053160303471
e_H,full,0.0,10.0,0.7461668296944687
e_pred,full,0.0,10.0,0.7587730291337289
e_U,full,0.0,10.0,1.4923336594551297
e_euc,long,5.0,10.0,0.6782102796924898
e_H,long,5.0,10.0,0.6818892781969123
e_pred,long,5.0,10.0,0.6847878218106145
e_U,long,5.0,10.0,1.3637785566195737
