metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,3.699640207840683
e_H,early,0.0,2.0,3.805057581433577
e_pred,early,0.0,2.0,3.8130984268019255
e_U,early,0.0,2.0,7.610115163016338
e_euc,mid,2.0,10.0,3.1569810067142985
e_H,mid,2.0,10.0,3.157240148072158
e_pred,mid,2.0,10.0,3.1572904913129562
e_U,mid,2.0,10.0,94.15607765069456
e_euc,full,0.0,10.0,3.2322231763276523
e_H,full,0.0,10.0,3.240848823367932
e_pred,full,0.0,10.0,3.2416069529402454
e_U,full,0.0,10.0,82.56739395543525
e_euc,long,5.0,10.0,3.0440826561838237
e_H,long,5.0,10.0,3.0361477625939783
e_pred,long,5.0,10.0,3.0354003428359633
e_U,long,5.0,10.0,4.889931800258051
