metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,1.5642459430951694
e_H,early,0.0,2.0,1.733408711955669
e_pred,early,0.0,2.0,1.7705843829867705
e_U,early,0.0,2.0,3.4668174239113125
e_euc,mid,2.0,10.0,1.0862763744961383
e_H,mid,2.0,10.0,1.094391943589015
e_pred,mid,2.0,10.0,1.0973705679286734
e_U,mid,2.0,10.0,2.1887836554574083
e_euc,full,0.0,10.0,1.136748989263738
e_H,full,0.0,10.0,1.1602038917587354
e_pred,full,0.0,10.0,1.1671178899888617
e_U,full,0.0,10.0,2.320407632313786
e_euc,long,5.0,10.0,1.0657942404733725
e_H,long,5.0,10.0,1.068526630555677
e_pred,long,5.0,10.0,1.069594220806221
e_U,long,5.0,10.0,2.1370527031664057
