width,n,alpha,sigma,lambda_min_H,lambda_med_H,lambda_max_H,condition_H,C_LSI,C_PI,h,h_lambda_max,rho_euc_early,rho_H_early,rho_pred_early,rho_euc_mid,rho_H_mid,rho_pred_mid,tau_euc_0p5,tau_euc_0p1,tau_H_0p5,tau_H_0p1,tau_pred_0p5,tau_pred_0p1,final_e_euc,final_e_H,final_e_pred,final_e_U,stable
32,128,0.3,10.0,0.6650448110727201,1.566819999309551,3.1383900085522787,4.719065476941385,1.5036580743889962,1.5036580743889962,0.0010898607711746777,0.00342040815496769,1.2627389418256085,1.347701222124489,1.373492650710367,0.8526426103265438,0.8836592756473934,0.9004458138691698,0.4708198531474608,1.778652778557074,0.42722542230047367,1.6347911567620166,0.41414709304637753,1.599915612084427,7.855148856474232e-05,5.2210168621606813e-05,4.385634857450309e-05,2.7259016885783877e-09,1
64,256,0.3,10.0,1.0159078915363822,2.669682077842568,5.844971886340868,5.7534466805857525,0.9843412068466914,0.9843412068466914,0.0010898607711746777,0.00637020556754177,1.5642459430951694,1.733408711955669,1.7705843829867705,1.0862763744961383,1.094391943589015,1.0973705679286734,0.29208268667481363,1.281676266901421,0.2354099265737304,1.0593446695817867,0.23105048348903168,1.024469124904197,5.969786703056722e-06,3.6856208323872144e-06,3.301807400770128e-06,1.3583536638402362e-11,1
128,512,0.3,10.0,1.6652459939179125,4.9882295803842895,11.61824650376341,6.9768950330446655,0.6005118785166671,0.6005118785166671,0.0010898607711746777,0.012662271094289093,2.1191431998701105,2.2570152498990708,2.2767434706750667,1.7027728229400951,1.7085299919785404,1.709735426425871,0.196174938811442,0.889326389278537,0.13950217871035875,0.7105892228058899,0.13950217871035875,0.693151450467095,1.2818429897728439e-08,7.803791095537168e-09,7.3151565482419e-09,8.549500851773694e-16,1
256,1024,0.3,10.0,2.788934315871359,9.766581416943263,23.0018857580497,8.247553779646157,0.3585598966275997,0.3585598966275997,0.0010898607711746777,0.025068852950739882,3.647950056709155,3.790435991710891,3.8013652957517956,2.8910003745928923,2.898493545541215,2.8993422590561733,0.09590774786337164,0.4315848653851724,0.07411053243987809,0.34439600369119816,0.07411053243987809,0.34003656060649945,3.676812981573169e-14,2.0958813700725492e-14,2.0183068146452783e-14,9.114957037698396e-16,1
512,2048,0.3,10.0,5.506814993098752,19.075072062724942,45.87741968738706,8.331026145763301,0.1815931715979599,0.1815931715979599,0.0010898607711746777,0.05,6.269456045736483,6.373923909635081,6.378413766905735,2.1855191115550396,2.166973446363311,2.1660377304219787,0.05231331701638453,0.2397693696584291,0.0392349877622884,0.19181549572674328,0.0392349877622884,0.18745605264204457,8.610452421980645e-15,5.564139149585575e-15,5.492165162326586e-15,1.0000000000000237e-300,1
