metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.1191431998701105
e_H,early,0.0,2.0,2.2570152498990708
e_pred,early,0.0,2.0,2.2767434706750667
e_U,early,0.0,2.0,4.514030499797709
e_euc,mid,2.0,10.0,1.7027728229400951
e_H,mid,2.0,10.0,1.7085299919785404
e_pred,mid,2.0,10.0,1.709735426425871
e_U,mid,2.0,10.0,19.961889666897978
e_euc,full,0.0,10.0,1.7493602401167265
e_H,full,0.0,10.0,1.7651988383678094
e_pred,full,0.0,10.0,1.7680101827267278
e_U,full,0.0,10.0,14.288424436321735
e_euc,long,5.0,10.0,1.6781526791991987
e_H,long,5.0,10.0,1.6800988634444873
e_pred,long,5.0,10.0,1.6805215131225535
e_U,long,5.0,10.0,43.650187944839054
