row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned,window_kind,window_len_saves,n_chains_used,step_first_mean,step_last_mean,window_rhat,drift_z_mean,drift_z_max,ess_bulk,ess_tail,t_analysis_phys,grad_evals_span,ess_per_t_analysis,ess_per_1e6_grad
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_nll_ge_1p45,,,,1.0,1.0,10286.25,6.849574196011505,52032.0,15895.26896071071,41745.75,15900.742527211321,4,4,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_nll_ge_1p45,10280,74720,64440,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_nll_ge_1p45,10296,38027,27731,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_nll_ge_1p45,10284,45523,35239,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_nll_ge_1p45,10285,49858,39573,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_nll_ge_1p55,,,,0.0,1.0,10286.25,6.849574196011505,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_nll_ge_1p55,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_nll_ge_1p55,10296,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_nll_ge_1p55,10284,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_nll_ge_1p55,10285,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_nll_ge_1p7,,,,0.0,1.0,10286.25,6.849574196011505,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_nll_ge_1p7,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_nll_ge_1p7,10296,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_nll_ge_1p7,10284,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_nll_ge_1p7,10285,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_f_margin_le_m0p2,,,,1.0,1.0,10286.25,6.849574196011505,76527.0,9583.350249260433,66240.75,9586.591099899206,4,4,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_f_margin_le_m0p2,10280,71692,61412,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_f_margin_le_m0p2,10296,67008,56712,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_f_margin_le_m0p2,10284,89113,78829,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_f_margin_le_m0p2,10285,78295,68010,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_f_margin_le_m0p3,,,,0.0,1.0,10286.25,6.849574196011505,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_f_margin_le_m0p3,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_f_margin_le_m0p3,10296,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_f_margin_le_m0p3,10284,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_f_margin_le_m0p3,10285,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p05_f_margin_le_m0p38,,,,0.0,1.0,10286.25,6.849574196011505,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p05_f_margin_le_m0p38,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p05_f_margin_le_m0p38,10296,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p05_f_margin_le_m0p38,10284,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p05_f_margin_le_m0p38,10285,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p1_nll_ge_1p45,,,,1.0,1.0,21187.0,12.110601416389967,52032.0,15895.26896071071,30845.0,15904.00974597287,4,4,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p1_nll_ge_1p45,21173,74720,53547,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain1,geom_d0p1_nll_ge_1p45,21195,38027,16832,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain2,geom_d0p1_nll_ge_1p45,21181,45523,24342,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain3,geom_d0p1_nll_ge_1p45,21199,49858,28659,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,,geom_d0p1_nll_ge_1p55,,,,0.0,1.0,21187.0,12.110601416389967,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000,w1_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2000_chain0,geom_d0p1_nll_ge_1p55,21173,,,,,,,,,,,,,,,,,,,,,,,,,,,
