probe,rho_hat_mean,rho_hat_std,rho_hat_se
f_dist,0.02994850300631405,,
f_margin,163610.9940845024,,
f_nll,203065.93920132273,,
f_pc1,293555.10880829045,,
f_proj1,17358.35070990438,,
