init_tag,table,key,n,mean,std,early_mean,mid_mean,late_mean,delta_2nd_minus_1st
initI1,primary,f_nll,400000.0,808.7018296101475,137.11968023814487,730.6211624922607,852.7804342128869,841.7038314630845,70.46413928556444
initI1,primary,f_margin,400000.0,-0.16570001463289138,0.49039491691096604,0.11551453621734188,-0.30257621305345583,-0.3057931214028641,-0.28162557772929314
initI1,primary,ce_mean_train,400000.0,1.5789317426455753,0.26771776338787484,1.4267014312017252,1.6649932067484077,1.6431544474177393,0.1372445403178626
initI1,primary,margin_probe,400000.0,-0.16570001463289138,0.49039491691096604,0.11551453621734188,-0.30257621305345583,-0.3057931214028641,-0.28162557772929314
initI1,primary,pmax_mean,400000.0,0.35005631752550603,0.0540266931668614,0.3556411758808024,0.3372156753996105,0.35709869589108756,0.007832497316002829
initI1,primary,U_train,400000.0,11455.582544586907,8641.98279702337,2323.055925949906,9797.950138176195,21928.38395125086,14849.15711435158
initI1,primary,grad_norm,400000.0,570.1622216133022,467.00414882184236,874.1057728617986,401.9945667481856,438.37973394708075,-293.0330354171562
initI1,primary,nll_probe_mean,400000.0,1.5794957609573193,0.2678118754651267,1.4269944579926968,1.6655867855720448,1.643952795826337,0.13762527204211805
initI1,secondary,dist_to_ref,400000.0,233.2290566043044,124.56308414933294,85.21744394925918,238.51944744742786,371.7525954217578,215.0839256410468
initI1,secondary,dist_to_ref_sq_over_d,400000.0,0.058716479673915925,0.04813731058080697,0.008024049435006416,0.049183281533707324,0.1171707660418835,0.08274429289587042
initI1,secondary,dist_to_ref_over_sqrt_d,400000.0,0.2137409224832701,0.1141548523201815,0.07809685185274146,0.2185892592881679,0.34068972296108807,0.19711196086445076
initI1,secondary,dist_to_ref_over_ou_radius,400000.0,0.11707072470605015,0.06252518766443435,0.04277540742988563,0.11972626814047523,0.18660344637597362,0.10796266731953515
initI1,secondary,theta_norm,400000.0,237.37851235272407,120.96531901228735,93.98596275552114,240.83131863888826,373.202380860497,210.01239187200548
initI1,secondary,v_norm,400000.0,1084.9846280944823,3.3008556137458145,1088.934499127937,1084.736995917118,1081.3912786165126,-5.835448282470679
initI1,secondary,kinetic_energy,400000.0,588601.269410933,3582.730172902174,592889.989444674,588328.2035138742,584703.7227488594,-6332.295846605673
initI1,secondary,theta_v_cosine,400000.0,0.7402546410643129,0.12080216270215051,0.760041675149442,0.782862178346703,0.6796952041487784,-0.07288990621041846
initI1,secondary,delta_U,399996.0,0.28920524434736533,0.112979365524148,0.15009424567945076,0.3042690339870621,0.4096044491038603,0.19552937961020234
initI1,secondary,noise_step_norm,400000.0,5.974720412515402,0.0038672611616628496,5.9747121524594045,5.974740597266139,5.974708838546977,7.209351062797964e-06
initI1,secondary,U_prior,400000.0,10647.169492352374,8597.535709859781,1592.5847931746225,8945.473616321013,21087.08887417298,14778.887909708834
initI1,secondary,U_data,400000.0,808.4130522345346,137.07149485459192,730.4711327752833,852.4765218551847,841.2950770778825,70.26920464274565
initI1,secondary,ce_mean_train,400000.0,1.5789317426455753,0.26771776338787484,1.4267014312017252,1.6649932067484077,1.6431544474177393,0.1372445403178626
initI1,secondary,U_data_minus_ce,400000.0,0.0,0.0,0.0,0.0,0.0,0.0
initI1,ratio_late,U_prior_over_U_data,100000.0,27.270957823156593,,,,,
initI1,ratio_late,U_prior_over_U_train,100000.0,0.9640157157851427,,,,,
initI2_step1600,primary,f_nll,400000.0,866.6006171681977,95.75301349322538,839.3882059971203,890.693112240878,869.6287710284065,14.490537516021732
initI2_step1600,primary,f_margin,400000.0,-0.2948411920428916,0.2530164442075906,-0.17552712908880713,-0.364567684000866,-0.34297030506852794,-0.10726253818707773
initI2_step1600,primary,ce_mean_train,400000.0,1.6920196512445123,0.18696840503020334,1.6391488428968577,1.739042598008437,1.6976955168993093,0.027912998244681297
initI2_step1600,primary,margin_probe,400000.0,-0.2948411920428916,0.2530164442075906,-0.17552712908880713,-0.364567684000866,-0.34297030506852794,-0.10726253818707773
initI2_step1600,primary,pmax_mean,400000.0,0.3364334952881187,0.04244985969697759,0.3315074486459295,0.3281609601520679,0.3492438834846458,0.017404802258163654
initI2_step1600,primary,U_train,400000.0,11511.687246925278,8610.052944969411,2429.4161699262677,9833.876632449988,21955.295947473864,14794.255175670929
initI2_step1600,primary,grad_norm,400000.0,960.1004642124939,1300.285237199476,1806.6899019167352,573.0366895603989,514.090261838352,-870.1564152212525
initI2_step1600,primary,nll_probe_mean,400000.0,1.692579330406636,0.18701760447895582,1.6394300898381255,1.7396349848454649,1.6984936934148565,0.028301831085979945
initI2_step1600,secondary,dist_to_ref,400000.0,233.25050966282478,124.57488031748537,85.22362718118761,238.54391450407425,371.78594384320127,215.10429652088024
initI2_step1600,secondary,dist_to_ref_sq_over_d,400000.0,0.0587273528150055,0.04814570523274379,0.008025380613439971,0.0491933586108516,0.11719167314996846,0.08275928794129309
initI2_step1600,secondary,dist_to_ref_over_sqrt_d,400000.0,0.21376058296891026,0.11416566282509617,0.07810251842669053,0.2186116819285292,0.3407202848579051,0.19713062959600058
initI2_step1600,secondary,dist_to_ref_over_ou_radius,400000.0,0.11708149319752677,0.06253110882183413,0.04277851114026128,0.11973854952639994,0.18662018581626047,0.10797289260492503
initI2_step1600,secondary,theta_norm,400000.0,237.32948988333703,121.01200110483524,93.87599010892347,240.80243062811186,373.1929736473981,210.08380130235673
initI2_step1600,secondary,v_norm,400000.0,1085.0430506048583,3.325927757615519,1089.024512524229,1084.80034759429,1081.4142551933737,-5.890883625488414
initI2_step1600,secondary,kinetic_energy,400000.0,588664.7417168459,3610.0846486082937,592987.984496771,588396.9469510376,584728.5715854971,-6392.762913074694
initI2_step1600,secondary,theta_v_cosine,400000.0,0.740647366840907,0.12067384748428427,0.7610572874016397,0.7829801804266724,0.6797500072281295,-0.07354529129383114
initI2_step1600,secondary,delta_U,399996.0,0.28698375728874476,0.1206582630165212,0.14406198212594698,0.30366009922294046,0.40951658002068014,0.19967865938425008
initI2_step1600,secondary,noise_step_norm,400000.0,5.974720412515402,0.0038672611616628496,5.9747121524594045,5.974740597266139,5.974708838546977,7.209351062797964e-06
initI2_step1600,secondary,U_prior,400000.0,10645.373185488084,8598.160597918246,1590.1719623630768,8943.48682226967,21086.075842821414,14779.963720569653
initI2_step1600,secondary,U_data,400000.0,866.3140614371903,95.72782337546411,839.2442075631911,890.3898101803197,869.2201046524464,14.291455101276824
initI2_step1600,secondary,ce_mean_train,400000.0,1.6920196512445123,0.18696840503020334,1.6391488428968577,1.739042598008437,1.6976955168993093,0.027912998244681297
initI2_step1600,secondary,U_data_minus_ce,400000.0,0.0,0.0,0.0,0.0,0.0,0.0
initI2_step1600,ratio_late,U_prior_over_U_data,100000.0,26.434044414420537,,,,,
initI2_step1600,ratio_late,U_prior_over_U_train,100000.0,0.962905107272737,,,,,
initI2_step2000,primary,f_nll,400000.0,842.8305831936264,112.69258683136249,793.8280784462437,875.2706938717004,858.9058480256025,38.82146003974924
initI2_step2000,primary,f_margin,400000.0,-0.23914005595946916,0.31494088461860875,-0.05688416921127955,-0.3300257763560071,-0.32782286447724873,-0.1798871491063712
initI2_step2000,primary,ce_mean_train,400000.0,1.6455918547320887,0.2200293779810931,1.5501587736568685,1.7089200657539685,1.6767524639015057,0.07543828314014922
initI2_step2000,primary,margin_probe,400000.0,-0.23914005595946916,0.31494088461860875,-0.05688416921127955,-0.3300257763560071,-0.32782286447724873,-0.1798871491063712
initI2_step2000,primary,pmax_mean,400000.0,0.3359712010996044,0.046757740586033075,0.3292092230444153,0.3279360102595705,0.3503331591449678,0.020125507037341617
initI2_step2000,primary,U_train,400000.0,11488.507212150269,8623.687157336253,2384.815762730454,9819.133916170988,21944.71711209645,14817.951321314697
initI2_step2000,primary,grad_norm,400000.0,571.9645438119126,435.3073111970422,838.7080066835808,426.16564184350676,454.577175876393,-250.75253842063904
initI2_step2000,primary,nll_probe_mean,400000.0,1.6461534828000515,0.22010270865500486,1.5504454657153197,1.7095130739681648,1.6775504844250049,0.07582316414013524
initI2_step2000,secondary,dist_to_ref,400000.0,233.24041959547213,124.56877769601707,85.22138541405813,238.53244942475536,371.76957087842254,215.09360922192985
initI2_step2000,secondary,dist_to_ref_sq_over_d,400000.0,0.058722122674453356,0.04814150920835864,0.008024859370096844,0.04918861282253429,0.1171814025026032,0.08275179143724125
initI2_step2000,secondary,dist_to_ref_over_sqrt_d,400000.0,0.2137513360065666,0.11416007012596514,0.07810046397695246,0.2186011748473549,0.3407052799839563,0.19712083530548735
initI2_step2000,secondary,dist_to_ref_over_ou_radius,400000.0,0.11707642842766272,0.06252804557436273,0.04277738587179649,0.1197327945610272,0.1866119673083262,0.1079675280510762
initI2_step2000,secondary,theta_norm,400000.0,237.34777265125274,120.99242110804745,93.91985107942061,240.8124895058834,373.19441252383064,210.05345639396668
initI2_step2000,secondary,v_norm,400000.0,1085.0111409417725,3.312330299248789,1088.976633310029,1084.763988195246,1081.4021642500934,-5.86079352294928
initI2_step2000,secondary,kinetic_energy,400000.0,588630.0737361746,3595.250795151437,592935.8577802627,588357.4926143151,584715.4944293058,-6359.942536949762
initI2_step2000,secondary,theta_v_cosine,400000.0,0.7404928883771313,0.12072739756497576,0.7606605806454566,0.7829314203376803,0.6797280236843994,-0.07328872590634039
initI2_step2000,secondary,delta_U,399996.0,0.2879794410737076,0.1144359335907314,0.14685041577888258,0.3039787567840597,0.4094293356502757,0.19764810196930094
initI2_step2000,secondary,noise_step_norm,400000.0,5.974720412515402,0.0038672611616628496,5.9747121524594045,5.974740597266139,5.974708838546977,7.209351062797964e-06
initI2_step2000,secondary,U_prior,400000.0,10645.964182527441,8597.799091861734,1591.1344706181376,8944.166842504954,21086.21985057888,14779.32692034694
initI2_step2000,secondary,U_data,400000.0,842.5430296228294,112.65504152631966,793.6812921123167,874.9670736660319,858.4972615175709,38.6244009677564
initI2_step2000,secondary,ce_mean_train,400000.0,1.6455918547320887,0.2200293779810931,1.5501587736568685,1.7089200657539685,1.6767524639015057,0.07543828314014922
initI2_step2000,secondary,U_data_minus_ce,400000.0,0.0,0.0,0.0,0.0,0.0,0.0
initI2_step2000,ratio_late,U_prior_over_U_data,100000.0,26.758456991200443,,,,,
initI2_step2000,ratio_late,U_prior_over_U_train,100000.0,0.963335592393522,,,,,
initI3_sigma0p02,primary,f_nll,400000.0,927.1958142874146,34.26978146886856,940.4958338946718,933.1060018893155,908.5506131726434,-27.659656408081105
