timescale,width,source,probe,window,n_draws,rhat,ess_mean,ess_min,ess_bulk_az,ess_tail_az,drift_z_max,ess_per_1e6_grad
T_phys=0.2 (T=40000),1.0,samples,f_nll,full,2000,1.0003718337955827,2.8916760739950105,2.8688895294958683,6.055672689376979,28.298704909395894,7.12817006512199,36.16403294140834
T_phys=0.2 (T=40000),1.0,samples,f_nll,last 50%,1000,1.020629326163418,2.940213164253809,2.933685296632717,5.837566556586927,21.354601176836905,4.599968596383001,73.57890801435958
T_phys=0.2 (T=40000),1.0,samples,f_nll,last 25%,500,1.0723293424734686,3.0034198850792015,2.8504352191016777,5.597960932513395,13.37959717725919,4.776320553989811,150.4719381302205
T_phys=0.2 (T=40000),1.0,samples,f_margin,full,2000,1.0002093514614598,3.387400008305303,3.3610638708981586,6.05455761385175,27.703203543173846,11.808487803824544,42.36368194478869
T_phys=0.2 (T=40000),1.0,samples,f_margin,last 50%,1000,1.0342804476934644,3.012872783830333,2.9523700441551597,5.775644929155052,19.01298031216201,6.655150541609769,75.39721681257089
T_phys=0.2 (T=40000),1.0,samples,f_margin,last 25%,500,1.1454112005995363,3.0232839996292933,2.8774694877070965,5.417430366826232,9.71815187746131,8.383946196349921,151.4671342499646
T_phys=0.2 (T=40000),1.0,samples,f_dist,full,2000,0.9997518617572877,2.9332155637940875,2.931495978349229,6.09278650605814,29.87081607323378,2.4449195567145354,36.683536315583886
T_phys=0.2 (T=40000),1.0,samples,f_dist,last 50%,1000,0.9995141011052546,2.8774421778204546,2.8774121665990493,6.113758899268925,29.966660000433478,3.0721020083922603,72.00806250801938
T_phys=0.2 (T=40000),1.0,samples,f_dist,last 25%,500,0.9991121161633226,2.87365749992178,2.873504877825299,6.154916736033863,30.125476231595815,3.28422484696798,143.97081662934772
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_sq_over_d,full,2000,0.9997518617572878,2.933215563809263,2.9314959783645023,6.09278650605814,29.87081607323378,2.4449195567145354,36.68353631577367
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_sq_over_d,last 50%,1000,0.9995141011052546,2.8774421778819503,2.877412166660402,6.113758899268925,29.966660000433478,3.0721020083922608,72.00806250955831
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_sq_over_d,last 25%,500,0.9991121161633226,2.873657500308136,2.873504878210452,6.154916736033863,30.125476231595815,3.28422484696798,143.9708166487042
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_over_sqrt_d,full,2000,0.9997508108175699,2.8756829228682923,2.8754328276729133,6.09278650605814,29.87081607323378,3.6543434092027693,35.96401854512622
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_over_sqrt_d,last 50%,1000,0.9995117746756118,2.8736616494357636,2.873424750917054,6.113758899268925,29.966660000433478,3.5496613584613104,71.91345469058467
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_over_sqrt_d,last 25%,500,0.9991084392920255,2.8731432506135084,2.8730108807976085,6.154916736033863,30.125476231595815,3.498678132826853,143.94505263594732
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_over_ou_radius,full,2000,0.9997508108175698,2.875682922869531,2.8754328276741514,6.09278650605814,29.87081607323378,3.6543434092027693,35.96401854514171
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_over_ou_radius,last 50%,1000,0.9995117746756119,2.8736616494467424,2.873424750927977,6.113758899268925,29.966660000433478,3.54966135846131,71.91345469085941
T_phys=0.2 (T=40000),1.0,samples,dist_to_ref_over_ou_radius,last 25%,500,0.9991084392920256,2.8731432507055015,2.8730108808894217,6.154916736033863,30.125476231595815,3.498678132826853,143.94505264055618
T_phys=0.2 (T=40000),1.0,iter_rhat,nll_probe_mean,full_aligned,10001,1.000571317554485,,,,,,
T_phys=0.2 (T=40000),1.0,iter_rhat,U_train,full_aligned,10001,1.000185781599883,,,,,,
T_phys=0.2 (T=40000),1.0,iter_rhat,grad_norm,full_aligned,10001,1.1102175288804685,,,,,,
T_phys=0.2 (T=40000),1.0,iter_rhat,f_nll,full_aligned,10001,1.000571317554485,,,,,,
T_phys=0.2 (T=40000),1.0,iter_rhat,f_margin,full_aligned,10001,1.0004083943044502,,,,,,
T_phys=0.2 (T=40000),1.0,iter_rhat,dist_to_ref,full_aligned,10001,0.9999508443960938,,,,,,
T_phys=0.2 (T=40000),1.0,iter_rhat,dist_to_ref_over_sqrt_d,full_aligned,10001,0.9999508443960938,,,,,,
T_phys=0.2 (T=40000),2.0,samples,f_nll,full,2000,1.0006656732546535,3.7082104688936988,3.6463488209008665,5.814351727197132,15.896920093841127,19.52763343594503,46.37581877055651
T_phys=0.2 (T=40000),2.0,samples,f_nll,last 50%,1000,1.1109863955270771,3.2822379064776817,3.0374284131470444,5.308554052529683,8.63479785068398,7.844030393080684,82.13808574768973
T_phys=0.2 (T=40000),2.0,samples,f_nll,last 25%,500,1.7561137655832282,3.1399449722839643,2.8851913819714023,4.636424088220028,4.668750686211485,4.104469669037359,157.31187235891605
T_phys=0.2 (T=40000),2.0,samples,f_margin,full,2000,1.0000681344290216,5.5660307081271645,5.478852538315916,5.889570805019091,15.184207249538717,34.10136012866891,69.61018894606259
T_phys=0.2 (T=40000),2.0,samples,f_margin,last 50%,1000,1.0883836724827274,3.2421681796037145,2.8880919613860385,5.29396481598942,6.708800133332787,6.78892566498867,81.13533982992278
T_phys=0.2 (T=40000),2.0,samples,f_margin,last 25%,500,1.665430243697026,3.5966741166607052,3.1958938826455894,4.8767701179938765,5.064997240799412,4.705873441500854,180.1940940210774
T_phys=0.2 (T=40000),2.0,samples,f_dist,full,2000,0.9997510984456414,2.934790522910076,2.9340528285058602,6.0928859013857455,29.872250164910884,2.435812837532204,36.70323315295243
T_phys=0.2 (T=40000),2.0,samples,f_dist,last 50%,1000,0.9995063880878843,2.877322067051284,2.8771806930365846,6.11420916238772,29.97821217166592,3.068434797222635,72.00505673301512
T_phys=0.2 (T=40000),2.0,samples,f_dist,last 25%,500,0.9990259834038041,2.8735484150670025,2.8734393726333263,6.157419776352242,30.183732089446284,3.284718462574678,143.96535145626265
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_sq_over_d,full,2000,0.9997510984456414,2.9347905229250886,2.9340528285208256,6.0928859013857455,29.872250164910884,2.435812837532205,36.703233153140175
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_sq_over_d,last 50%,1000,0.9995063880878843,2.877322067111802,2.8771806930971793,6.11420916238772,29.97821217166592,3.0684347972226353,72.00505673452957
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_sq_over_d,last 25%,500,0.9990259834038042,2.8735484154467903,2.8734393730127787,6.157419776352242,30.183732089446284,3.2847184625746793,143.96535147529008
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_over_sqrt_d,full,2000,0.9997506939842413,2.875266672629039,2.8749672959984935,6.0928859013857455,29.872250164910884,3.6424745233009843,35.958812814270125
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_over_sqrt_d,last 50%,1000,0.9995064357159449,2.873421915321126,2.873302564335884,6.11420916238772,29.97821217166592,3.5483015959467887,71.90745533836652
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_over_sqrt_d,last 25%,500,0.999026029687585,2.8730678620635897,2.8729865947817688,6.157419776352242,30.183732089446284,3.5003655406052547,143.94127565448846
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_over_ou_radius,full,2000,0.9997506939842413,2.875266672630267,2.8749672959997206,6.0928859013857455,29.872250164910884,3.6424745233009848,35.95881281428548
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_over_ou_radius,last 50%,1000,0.9995064357159449,2.8734219153319795,2.8733025643467385,6.11420916238772,29.97821217166592,3.5483015959467883,71.90745533863813
T_phys=0.2 (T=40000),2.0,samples,dist_to_ref_over_ou_radius,last 25%,500,0.999026029687585,2.873067862154511,2.8729865948727493,6.157419776352242,30.183732089446284,3.5003655406052494,143.94127565904367
T_phys=0.2 (T=40000),2.0,iter_rhat,nll_probe_mean,full_aligned,10001,1.0008639027072557,,,,,,
T_phys=0.2 (T=40000),2.0,iter_rhat,U_train,full_aligned,10001,1.0000631234619553,,,,,,
T_phys=0.2 (T=40000),2.0,iter_rhat,grad_norm,full_aligned,10001,1.0004137078579705,,,,,,
T_phys=0.2 (T=40000),2.0,iter_rhat,f_nll,full_aligned,10001,1.0008639027072557,,,,,,
T_phys=0.2 (T=40000),2.0,iter_rhat,f_margin,full_aligned,10001,1.0002662730713026,,,,,,
T_phys=0.2 (T=40000),2.0,iter_rhat,dist_to_ref,full_aligned,10001,0.9999507283909722,,,,,,
T_phys=0.2 (T=40000),2.0,iter_rhat,dist_to_ref_over_sqrt_d,full_aligned,10001,0.9999507283909723,,,,,,
T_phys=0.2 (T=40000),4.0,samples,f_nll,full,2000,1.0002939331116996,3.0269964291119047,3.010194471728154,6.032679781890494,27.254832442223282,6.720808441908236,37.85638355567664
T_phys=0.2 (T=40000),4.0,samples,f_nll,last 50%,1000,1.0126200724316528,2.9705239797574503,2.9111287122365086,5.946518991570116,19.350424846648888,6.559572566318327,74.33743693086713
T_phys=0.2 (T=40000),4.0,samples,f_nll,last 25%,500,1.1039317504381212,2.8251599511096157,2.7636897408489216,5.319533544394305,10.895518140415412,5.3840351833429425,141.5410797149106
T_phys=0.2 (T=40000),4.0,samples,f_margin,full,2000,0.9999681627599987,4.258928131357244,4.180761416255265,5.998546374828199,23.0397779090265,14.505299050023092,53.263233258594845
T_phys=0.2 (T=40000),4.0,samples,f_margin,last 50%,1000,1.0314746376234492,3.03387465855044,2.997239088782137,5.840058167745846,17.10980424324867,5.986284033261242,75.92278925301402
T_phys=0.2 (T=40000),4.0,samples,f_margin,last 25%,500,1.2811431060912764,2.9010315388752344,2.7385972858161036,5.058609288038111,4.757639736858939,4.56237356216957,145.3422614666951
T_phys=0.2 (T=40000),4.0,samples,f_dist,full,2000,0.9997505971416645,2.9348319378965577,2.9347095925178515,6.0929000374234255,29.872964744716313,2.433272940335459,36.7037510992566
T_phys=0.2 (T=40000),4.0,samples,f_dist,last 50%,1000,0.999504033711401,2.8773830993961713,2.877285641888598,6.114336062195815,29.981094881101733,3.066716633931008,72.00658406897325
T_phys=0.2 (T=40000),4.0,samples,f_dist,last 25%,500,0.9990220420310993,2.873516955462237,2.8734741283079974,6.157721962618998,30.195411112438006,3.2840998150234153,143.96377532375936
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_sq_over_d,full,2000,0.9997505971416645,2.934831937911444,2.9347095925327484,6.0929000374234255,29.872964744716313,2.433272940335459,36.70375109944277
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_sq_over_d,last 50%,1000,0.999504033711401,2.8773830994561758,2.877285641948667,6.114336062195815,29.981094881101733,3.0667166339310077,72.00658407047487
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_sq_over_d,last 25%,500,0.9990220420310995,2.8735169558387272,2.8734741286849648,6.157721962618998,30.195411112438006,3.284099815023416,143.9637753426216
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_over_sqrt_d,full,2000,0.9997503162538321,2.874981653163963,2.8748093428524633,6.0929000374234255,29.872964744716313,3.639004751582246,35.95524828869388
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_over_sqrt_d,last 50%,1000,0.9995037550444417,2.87347585596788,2.8733954010295806,6.114336062195815,29.981094881101733,3.5463324485215573,71.9088052044014
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_over_sqrt_d,last 25%,500,0.9990217994639564,2.873029083563364,2.8729941585439653,6.157721962618998,30.195411112438006,3.4999677128758333,143.9393328438559
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_over_ou_radius,full,2000,0.9997503162538321,2.8749816531651886,2.874809342853686,6.0929000374234255,29.872964744716313,3.6390047515822452,35.955248288709214
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_over_ou_radius,last 50%,1000,0.9995037550444417,2.8734758559786817,2.873395401040389,6.114336062195815,29.981094881101733,3.54633244852156,71.90880520467171
T_phys=0.2 (T=40000),4.0,samples,dist_to_ref_over_ou_radius,last 25%,500,0.9990217994639564,2.873029083653853,2.872994158634534,6.157721962618998,30.195411112438006,3.4999677128758337,143.93933284838943
T_phys=0.2 (T=40000),4.0,iter_rhat,nll_probe_mean,full_aligned,10001,1.0004931962557426,,,,,,
T_phys=0.2 (T=40000),4.0,iter_rhat,U_train,full_aligned,10001,0.999955349952404,,,,,,
T_phys=0.2 (T=40000),4.0,iter_rhat,grad_norm,full_aligned,10001,1.0054889902209772,,,,,,
T_phys=0.2 (T=40000),4.0,iter_rhat,f_nll,full_aligned,10001,1.0004931962557426,,,,,,
T_phys=0.2 (T=40000),4.0,iter_rhat,f_margin,full_aligned,10001,1.0001674127936189,,,,,,
T_phys=0.2 (T=40000),4.0,iter_rhat,dist_to_ref,full_aligned,10001,0.9999503508739542,,,,,,
T_phys=0.2 (T=40000),4.0,iter_rhat,dist_to_ref_over_sqrt_d,full_aligned,10001,0.9999503508739542,,,,,,
T_phys=0.5 (T=100000),1.0,samples,f_nll,full,5000,1.000985728227865,4.321021914876676,4.220294637347971,5.597067521599254,7.706114049361326,15.79838095655802,21.609431460675513
T_phys=0.5 (T=100000),1.0,samples,f_nll,last 50%,2500,1.2652406470954272,3.2687939642885073,2.998253402106596,5.161150794368616,4.606251015550156,9.211592404392768,32.701020050905434
T_phys=0.5 (T=100000),1.0,samples,f_nll,last 25%,1250,2.8295922596338543,3.8047565721106382,2.9380516229818117,4.632987999439523,7.565158910557723,3.1220996677883024,76.15605628724256
T_phys=0.5 (T=100000),1.0,samples,f_margin,full,5000,1.000341121339354,5.539068353275237,5.395495469794871,5.555941105269847,10.128637794656749,29.11702775296195,27.700881942764738
T_phys=0.5 (T=100000),1.0,samples,f_margin,last 50%,2500,1.2973403029968982,3.521846434182226,3.0290168492300014,5.118365949571124,5.6719030051080015,4.597880355807814,35.23255736476817
T_phys=0.5 (T=100000),1.0,samples,f_margin,last 25%,1250,2.090186062964627,6.037552554450453,2.845538777972564,4.757658070339195,7.283982353558692,4.554668729613719,120.847729272427
T_phys=0.5 (T=100000),1.0,samples,f_dist,full,5000,0.9999063025015226,3.5315136478536404,3.529551197188067,6.079914968021592,29.80234551534352,2.632470976075936,17.661100459360075
