probe,rhat,ess_bulk,ess_rate,ess_rate_1e6
f_nll,1.402203617043553,7.732400923656773,5.154933949104515e-05,51.54933949104515
f_margin,1.835398043417216,4.919462955564013,3.2796419703760084e-05,32.79641970376009
f_pc1,1.3775106746275354,7.225130457157422,4.816753638104948e-05,48.16753638104948
f_pc2,1.7896207921223417,4.754557209889855,3.169704806593236e-05,31.697048065932364
f_proj1,3.6629727710968516,2.969463292503042,1.979642195002028e-05,19.79642195002028
f_proj2,3.6366442698836465,2.715137429125819,1.8100916194172124e-05,18.100916194172125
f_dist,4.581209513311631,2.8730866231397725,1.9153910820931817e-05,19.153910820931817
