group_label,late_frac,probe,rhat_late,drift_z_mean,drift_z_max,ess_bulk,ess_tail,T_analysis_phys,grad_evals_span,ess_per_phys,ess_per_1e6_grad,step_first_late,step_last
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_nll,1.7990642047829033,1.154085837079517,2.0865624458585597,5.47888056403868,11.372452594701622,0.49990000000000007,199960.0,10.9599531187011,27.39988279675275,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_margin,1.225327772412972,0.8109405193131575,1.4644017676202359,10.868487327312954,33.032216449169944,0.49990000000000007,199960.0,21.741322919209747,54.353307298024376,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_dist,0.9999450973257119,3.353876724556023,3.3570100797723286,6.078300820787882,62.109025769211236,0.49990000000000007,199960.0,12.159033448265415,30.39758362066354,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_sq_over_d,0.9999450973257118,3.3538767245560233,3.3570100797723303,6.078300820787882,62.109025769211236,0.49990000000000007,199960.0,12.159033448265415,30.39758362066354,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_sqrt_d,0.9999406651506769,3.769678158407693,3.774110628201559,6.078300820787882,62.109025769211236,0.49990000000000007,199960.0,12.159033448265415,30.39758362066354,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_ou_radius,0.9999406651506769,3.7696781584076935,3.7741106282015555,6.078300820787882,62.109025769211236,0.49990000000000007,199960.0,12.159033448265415,30.39758362066354,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj1,6.230941843996701,0.8528821371208525,2.486735440429578,4.590752735141819,11.798267924641479,0.49990000000000007,199960.0,9.183342138711378,22.95835534677845,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj2,1.5632193275611628,7.777238867608376,8.482649939919913,4.714435372025915,11.376565826352492,0.49990000000000007,199960.0,9.430756895430914,23.57689223857729,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc1,1.3524121668123954,0.659142005192758,1.0262209927615777,9.563936784390975,20.975310239911632,0.49990000000000007,199960.0,19.1316999087637,47.829249771909254,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc2,1.0857086575785704,2.2464212070234866,3.373303032803257,6.006499449313808,11.309916824833982,0.49990000000000007,199960.0,12.01540197902342,30.03850494755855,100020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_nll,1.7450693333345053,2.43203540490022,3.6759686017017077,4.852324713262046,14.05309456197381,0.2499,99960.0,19.41706567931991,48.54266419829978,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_margin,1.256230023388715,1.5494134185735897,3.233072643797078,6.891992300213479,20.87269858741849,0.2499,99960.0,27.579000801174384,68.94750200293596,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_dist,1.0001325186724968,3.437955952443004,3.4420894918673812,6.079342929473212,60.75986225159691,0.2499,99960.0,24.327102558916412,60.81775639729103,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_sq_over_d,1.000132518672497,3.4379559524430046,3.4420894918673794,6.079342929473212,60.75986225159691,0.2499,99960.0,24.327102558916412,60.81775639729103,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_over_sqrt_d,1.0001271608614701,3.6102423735012534,3.6147845757327266,6.079342929473212,60.75986225159691,0.2499,99960.0,24.327102558916412,60.81775639729103,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_over_ou_radius,1.0001271608614701,3.6102423735012494,3.6147845757327186,6.079342929473212,60.75986225159691,0.2499,99960.0,24.327102558916412,60.81775639729103,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_proj1,7.442310811969884,2.818560974844479,3.3134871761341547,4.263726904668478,11.389527831815258,0.2499,99960.0,17.06173231159855,42.65433077899638,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_proj2,6.093642496186842,2.1447407545473784,2.201309288395031,4.258209543232883,11.389527831815258,0.2499,99960.0,17.039654034545347,42.59913508636337,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_pc1,1.3168839110580308,1.56722131530896,2.1138833003562465,6.294162185491659,12.316969787539014,0.2499,99960.0,25.18672343133917,62.96680857834794,150020,200000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=200000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_pc2,1.3467517059138172,2.470428852544729,5.627466388622384,6.4605051301360445,12.03458639969597,0.2499,99960.0,25.85236146513023,64.63090366282559,150020,200000
