row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned,window_kind,window_len_saves,n_chains_used,step_first_mean,step_last_mean,window_rhat,drift_z_mean,drift_z_max,ess_bulk,ess_tail,t_analysis_phys,grad_evals_span,ess_per_t_analysis,ess_per_1e6_grad,window_suffix_frac,suffix_start_idx,suffix_n_draws,stab_ok
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_nll_ge_1p45,,,,1.0,1.0,10273.5,7.852812659593164,14940.75,584.353988035791,4667.25,581.2391217620049,4,4,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_nll_ge_1p45,10264,14743,4479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_nll_ge_1p45,10275,14209,3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_nll_ge_1p45,10272,15311,5039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_nll_ge_1p45,10283,15500,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_nll_ge_1p55,,,,1.0,1.0,10273.5,7.852812659593164,20870.5,1584.950998191006,10597.0,1581.0117014114728,4,4,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_nll_ge_1p55,10264,20106,9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_nll_ge_1p55,10275,19043,8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_nll_ge_1p55,10272,21811,11539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_nll_ge_1p55,10283,22522,12239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_nll_ge_1p7,,,,0.0,1.0,10273.5,7.852812659593164,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_nll_ge_1p7,10264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_nll_ge_1p7,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_nll_ge_1p7,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_nll_ge_1p7,10283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_f_margin_le_m0p2,,,,1.0,1.0,10273.5,7.852812659593164,25817.75,813.3200989360421,15544.25,810.8663576693757,4,4,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_f_margin_le_m0p2,10264,24828,14564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_f_margin_le_m0p2,10275,26455,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_f_margin_le_m0p2,10272,26512,16240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_f_margin_le_m0p2,10283,25476,15193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_f_margin_le_m0p3,,,,0.75,1.0,10273.5,7.852812659593164,98173.66666666667,28797.036658887893,87899.66666666667,28787.742223615474,4,3,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_f_margin_le_m0p3,10264,71900,61636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_f_margin_le_m0p3,10275,93660,83385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_f_margin_le_m0p3,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_f_margin_le_m0p3,10283,128961,118678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_f_margin_le_m0p38,,,,0.0,1.0,10273.5,7.852812659593164,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_f_margin_le_m0p38,10264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_f_margin_le_m0p38,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_f_margin_le_m0p38,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_f_margin_le_m0p38,10283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p1_nll_ge_1p45,,,,1.0,1.0,21121.0,19.544820285692065,21121.0,19.544820285692065,0.0,0.0,4,4,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p1_nll_ge_1p45,21092,21092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p1_nll_ge_1p45,21127,21127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p1_nll_ge_1p45,21131,21131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p1_nll_ge_1p45,21134,21134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T200000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p1_nll_ge_1p55,,,,1.0,1.0,21121.0,19.544820285692065,21638.0,675.9245520026625,517.0,663.2716889279485,4,4,,,,,,,,,,,,,,,,,,,
