row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p45,,,,1.0,1.0,10266.25,5.251983752196243,10266.25,5.251983752196243,0.0,0.0,4,4,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p45,10269,10269,0,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p45,10259,10259,0,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p45,10266,10266,0,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p45,10271,10271,0,,,,,,,,,,,
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p55,,,,1.0,1.0,10266.25,5.251983752196243,11539.5,408.6281928599641,1273.25,404.6829005530132,4,4,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p55,10269,12058,1789,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p55,10259,11160,901,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p55,10266,11272,1006,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p55,10271,11668,1397,,,,,,,,,,,
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p7,,,,0.25,1.0,10266.25,5.251983752196243,26445.0,0.0,16176.0,0.0,4,1,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p7,10269,26445,16176,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p7,10259,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p7,10266,,,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p7,10271,,,,,,,,,,,,,
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_f_margin_le_m0p2,,,,1.0,1.0,10266.25,5.251983752196243,16384.0,1663.968950030819,6117.75,1661.5166515365813,4,4,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_f_margin_le_m0p2,10269,18794,8525,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_f_margin_le_m0p2,10259,15067,4808,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_f_margin_le_m0p2,10266,16126,5860,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_f_margin_le_m0p2,10271,15549,5278,,,,,,,,,,,
summary,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_f_margin_le_m0p3,,,,1.0,1.0,10266.25,5.251983752196243,39921.0,10709.492673947414,29654.75,10712.457930683633,4,4,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_f_margin_le_m0p3,10269,34448,24179,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_f_margin_le_m0p3,10259,43202,32943,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_f_margin_le_m0p3,10266,53284,43018,,,,,,,,,,,
chain,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w4_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_f_margin_le_m0p3,10271,28750,18479,,,,,,,,,,,
