group_label,late_frac,probe,rhat_late,drift_z_mean,drift_z_max,ess_bulk,ess_tail,T_analysis_phys,grad_evals_span,ess_per_phys,ess_per_1e6_grad,step_first_late,step_last
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_nll,1.5934034107276585,2.446644996945393,5.267365002102098,5.67805055498075,11.29181219135334,0.2499,99960.0,22.721290736217487,56.803226840543715,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_margin,1.0645387190966198,3.167364393105463,5.711460859652318,6.894994440768531,22.866723401889054,0.2499,99960.0,27.59101416874162,68.97753542185404,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_dist,0.999837899592658,3.2030733346415796,3.2124616651163787,6.087364018086842,62.701613478837274,0.2499,99960.0,24.359199752248266,60.89799938062067,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_sq_over_d,0.999837899592658,3.203073334641579,3.212461665116379,6.087364018086842,62.701613478837274,0.2499,99960.0,24.359199752248266,60.89799938062067,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_sqrt_d,0.9998375618398884,3.6591137289027293,3.6697411853441535,6.087364018086842,62.701613478837274,0.2499,99960.0,24.359199752248266,60.89799938062067,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_ou_radius,0.9998375618398884,3.6591137289027316,3.6697411853441553,6.087364018086842,62.701613478837274,0.2499,99960.0,24.359199752248266,60.89799938062067,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj1,4.458799647195615,6.676144114909359,7.778045043546049,4.3668197018302,11.389527831815258,0.2499,99960.0,17.47426851472669,43.68567128681672,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj2,2.404343687732778,2.735250379061511,2.9826942045858265,4.3640836673412835,11.360420297198067,0.2499,99960.0,17.463319997364078,43.6582999934102,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc1,1.1623592611520417,1.9229492406946986,2.91490889076839,7.849605663497669,15.316618958659781,0.2499,99960.0,31.4109870488102,78.5274676220255,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc2,1.7192592441267915,1.3196949765488626,2.7846065524309034,5.726176683859712,11.058500140764703,0.2499,99960.0,22.913872284352585,57.28468071088147,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_nll,1.9412423022044702,1.779390514296034,2.7410263047092736,5.012899338266743,12.453423890815102,0.12490000000000001,49960.0,40.13530294849273,100.33825737123185,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_margin,1.0902551069002895,1.51808261231373,2.982759528764028,6.391206459616297,11.515311660120778,0.12490000000000001,49960.0,51.170588147448335,127.92647036862084,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_dist,0.9997698772401955,3.358276294385556,3.362967232062135,6.0924147245060585,62.38672385023233,0.12490000000000001,49960.0,48.7783404684232,121.94585117105802,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_sq_over_d,0.9997698772401956,3.358276294385555,3.362967232062136,6.0924147245060585,62.38672385023233,0.12490000000000001,49960.0,48.7783404684232,121.94585117105802,75020,100000
