group_label,late_frac,probe,rhat_late,drift_z_mean,drift_z_max,ess_bulk,ess_tail,T_analysis_phys,grad_evals_span,ess_per_phys,ess_per_1e6_grad,step_first_late,step_last
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_dist,0.9998028195699602,3.199252267562255,3.201038191257294,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_sq_over_d,0.9998028195699602,3.199252267562256,3.201038191257294,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_sqrt_d,0.9998024735543369,3.654500337433173,3.6567925829016277,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,dist_to_ref_over_ou_radius,0.9998024735543369,3.654500337433173,3.656792582901626,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj1,3.576156403241191,3.499878203271553,4.032333999002133,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_proj2,2.9772548341121117,6.658284268661377,8.7399679061151,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc1,1.4573774799407198,2.2153726966578846,5.21424956469823,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.5,f_pc2,1.382244856085452,2.110304775941166,4.40903241394946,nan,nan,0.2499,99960.0,nan,nan,50020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_nll,4.187714619920755,0.7730828658773591,3.290297526392227,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_margin,1.8061036448909922,1.0320330590652373,2.15879582092037,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_dist,0.9996217656388129,3.3580081395738097,3.3602349386979755,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_sq_over_d,0.9996217656388129,3.3580081395738097,3.360234938697972,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_over_sqrt_d,0.9996212838744809,3.5548684516308167,3.557296310473395,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,dist_to_ref_over_ou_radius,0.9996212838744809,3.554868451630815,3.5572963104733866,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_proj1,8.047821897238386,3.4383645753688175,4.135937736652833,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_proj2,11.580659184936085,4.902319659298358,8.380284738021372,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_pc1,1.5827879331890227,3.70397303524965,8.148108389749812,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,0.25,f_pc2,1.2344826155208317,2.4984013680458967,9.258877996296183,nan,nan,0.12490000000000001,49960.0,nan,nan,75020,100000
