row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned,window_kind,window_len_saves,n_chains_used,step_first_mean,step_last_mean,window_rhat,drift_z_mean,drift_z_max,ess_bulk,ess_tail,t_analysis_phys,grad_evals_span,ess_per_t_analysis,ess_per_1e6_grad
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_nll_ge_1p45,,,,1.0,1.0,10273.5,7.852812659593164,14941.0,584.2413884688417,4667.5,581.1313678219983,4,4,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_nll_ge_1p45,10264,14744,4480,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_nll_ge_1p45,10275,14209,3934,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_nll_ge_1p45,10272,15311,5039,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_nll_ge_1p45,10283,15500,5217,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_nll_ge_1p55,,,,1.0,1.0,10273.5,7.852812659593164,20871.75,1586.6886640632013,10598.25,1582.7436884515866,4,4,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_nll_ge_1p55,10264,20106,9842,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_nll_ge_1p55,10275,19043,8768,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_nll_ge_1p55,10272,21811,11539,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_nll_ge_1p55,10283,22527,12244,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_nll_ge_1p7,,,,0.0,1.0,10273.5,7.852812659593164,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_nll_ge_1p7,10264,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_nll_ge_1p7,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_nll_ge_1p7,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_nll_ge_1p7,10283,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_f_margin_le_m0p2,,,,1.0,1.0,10273.5,7.852812659593164,25817.0,813.8705875833905,15543.5,811.4113219159154,4,4,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_f_margin_le_m0p2,10264,24826,14562,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_f_margin_le_m0p2,10275,26454,16179,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_f_margin_le_m0p2,10272,26512,16240,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_f_margin_le_m0p2,10283,25476,15193,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_f_margin_le_m0p3,,,,0.5,1.0,10273.5,7.852812659593164,82780.0,15386.643558619275,72510.5,15378.865384026221,4,2,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_f_margin_le_m0p3,10264,71900,61636,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_f_margin_le_m0p3,10275,93660,83385,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_f_margin_le_m0p3,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain3,geom_d0p05_f_margin_le_m0p3,10283,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,,geom_d0p05_f_margin_le_m0p38,,,,0.0,1.0,10273.5,7.852812659593164,nan,nan,nan,nan,4,0,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain0,geom_d0p05_f_margin_le_m0p38,10264,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain1,geom_d0p05_f_margin_le_m0p38,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI2_step2475_chain2,geom_d0p05_f_margin_le_m0p38,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,
