group_label,n_chains,probe,rhat,ess_mean,ess_min,n_samples,ess_rate_1e6,sample_half1_mean,sample_half2_mean,sample_delta_2nd_minus_1st
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,4,f_nll,1.0848832996383007,10.989707815802632,9.407865140436273,5000.0,54.94853907901316,873.730645135498,872.8665498168946,-0.8640953186034039
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,4,f_margin,1.066900109729341,31.352032272316077,10.44675599291777,5000.0,156.76016136158037,-0.3358576944737695,-0.3462932230651379,-0.01043552859136837
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,4,f_dist,0.9999006337429587,3.53192217547529,3.531602928311046,5000.0,17.659610877376448,5334.602381234741,30190.677404785158,24856.075023550417
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,12,f_nll,1.0030189380900718,8.889451724354018,8.62875679281022,5000.0,44.44725862177009,716.644674461619,807.9349078877766,91.29023342615756
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,12,f_margin,1.0015641037300362,9.696090080961005,9.07155584618111,5000.0,48.48045040480502,0.051533440327007955,-0.26123428263713916,-0.3127677229641471
sampler=underdamped γ=3.0 h=5e-06 α=0.3 β=1.0 T=100000 B=0 S=20 n_train=512 arch=small_resnet_ln nb=1,12,f_dist,0.9999002930022218,3.5322717151045353,3.531918328076193,5000.0,17.661358575522677,5197.115007310219,29987.832004036452,24790.716996726234
