row_kind,group,chain_run,criterion,tau_geom,tau_pred,delta_tau,frac_finite_pred,frac_finite_geom,tau_geom_mean,tau_geom_std,tau_pred_mean,tau_pred_std,delta_tau_mean,delta_tau_std,n_chains,n_finite_pred,rhat_aligned
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p45,,,,1.0,1.0,10274.0,7.874007874011811,15127.0,522.0957766540541,4853.0,519.665918323173,4,4,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p45,10264,14985,4721,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p45,10276,14451,4175,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p45,10273,15481,5208,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p45,10283,15591,5308,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p55,,,,1.0,1.0,10274.0,7.874007874011811,21795.5,2126.3874686111812,11521.5,2122.2488858127203,4,4,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p55,10264,20456,10192,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p55,10276,19538,9262,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p55,10273,23274,13001,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain3,geom_d0p05_nll_ge_1p55,10283,23914,13631,,,,,,,,,,,
summary,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,,geom_d0p05_nll_ge_1p7,,,,0.0,1.0,10274.0,7.874007874011811,nan,nan,nan,nan,4,0,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain0,geom_d0p05_nll_ge_1p7,10264,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain1,geom_d0p05_nll_ge_1p7,10276,,,,,,,,,,,,,
chain,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1,w2_n512_h5e-06_T100000_a0.3_b1p0_g3p0_ul_initI1_chain2,geom_d0p05_nll_ge_1p7,10273,,,,,,,,,,,,,
