metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.382599005416607
e_H,early,0.0,2.0,6.47536792711394
e_pred,early,0.0,2.0,6.479324763790991
e_U,early,0.0,2.0,12.950721428605888
e_euc,mid,2.0,10.0,2.1095908832372863
e_H,mid,2.0,10.0,2.0931762136584235
e_pred,mid,2.0,10.0,2.0923665042556188
e_U,mid,2.0,10.0,-37.695834306601114
e_euc,full,0.0,10.0,3.183866896131445
e_H,full,0.0,10.0,3.176783342930003
e_pred,full,0.0,10.0,3.1764149509198925
e_U,full,0.0,10.0,-7.132268749071819
e_euc,long,5.0,10.0,0.05826236180955176
e_H,long,5.0,10.0,0.05188509158358793
e_pred,long,5.0,10.0,0.051573142774036206
e_U,long,5.0,10.0,-20.85201156898259
