metric,threshold,tau
e_euc,0.5,0.10479995980528684
e_H,0.5,0.07423330486207817
e_pred,0.5,0.07423330486207817
e_U,0.5,0.03493331993509561
e_euc,0.1,0.47159981912379073
e_H,0.1,0.3711665243103909
e_pred,0.1,0.3667998593185039
e_U,0.1,0.13973327974038244
e_euc,0.01,1.1309662328987204
e_H,0.01,0.986866288166451
e_pred,0.01,0.982499623174564
e_U,0.01,0.3711665243103909
