metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,2.210870833952731
e_H,early,0.0,2.0,2.344558411741929
e_pred,early,0.0,2.0,2.3637032576062182
e_U,early,0.0,2.0,4.689116823485069
e_euc,mid,2.0,10.0,1.712896445533174
e_H,mid,2.0,10.0,1.7195875095208288
e_pred,mid,2.0,10.0,1.7209791815443194
e_U,mid,2.0,10.0,37.37496857646764
e_euc,full,0.0,10.0,1.76795791154272
e_H,full,0.0,10.0,1.7855174141668888
e_pred,full,0.0,10.0,1.7886316272413132
e_U,full,0.0,10.0,25.72687696091688
e_euc,long,5.0,10.0,1.6833484557783878
e_H,long,5.0,10.0,1.6863537938533593
e_pred,long,5.0,10.0,1.6870039104416283
e_U,long,5.0,10.0,84.78967393717525
