metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,3.48330832147911
e_H,early,0.0,2.0,3.622668729862984
e_pred,early,0.0,2.0,3.6340495398830175
e_U,early,0.0,2.0,7.245337459553963
e_euc,mid,2.0,10.0,2.9539549989289875
e_H,mid,2.0,10.0,2.955617644938817
e_pred,mid,2.0,10.0,2.955804070093566
e_U,mid,2.0,10.0,65.99413946695702
e_euc,full,0.0,10.0,2.9996432067066454
e_H,full,0.0,10.0,3.010973347315907
e_pred,full,0.0,10.0,3.0120297029676157
e_U,full,0.0,10.0,56.04607988965026
e_euc,long,5.0,10.0,2.9381976374802043
e_H,long,5.0,10.0,2.9384142236148554
e_pred,long,5.0,10.0,2.9384390598854844
e_U,long,5.0,10.0,20.733442077188432
