metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,3.4442904728404704
e_H,early,0.0,2.0,3.5604738518415995
e_pred,early,0.0,2.0,3.570053792612199
e_U,early,0.0,2.0,7.120947703653114
e_euc,mid,2.0,10.0,2.962122176225455
e_H,mid,2.0,10.0,2.966202254427521
e_pred,mid,2.0,10.0,2.9666570552989917
e_U,mid,2.0,10.0,86.40014863055453
e_euc,full,0.0,10.0,3.01611479720295
e_H,full,0.0,10.0,3.0277366731909816
e_pred,full,0.0,10.0,3.028861962193683
e_U,full,0.0,10.0,71.80310091055613
e_euc,long,5.0,10.0,2.9243684647245933
e_H,long,5.0,10.0,2.9260258278396014
e_pred,long,5.0,10.0,2.926214607764325
e_U,long,5.0,10.0,40.868351660148136
