metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,6.026292444575799
e_H,early,0.0,2.0,6.135590185299245
e_pred,early,0.0,2.0,6.1405946709004615
e_U,early,0.0,2.0,12.271173807454812
e_euc,mid,2.0,10.0,2.3465491833875762
e_H,mid,2.0,10.0,2.327628738558855
e_pred,mid,2.0,10.0,2.326633554080651
e_U,mid,2.0,10.0,-34.72106987899598
e_euc,full,0.0,10.0,3.2727631173635303
e_H,full,0.0,10.0,3.264950828033321
e_pred,full,0.0,10.0,3.2645161497200745
e_U,full,0.0,10.0,-3.7685749642673185
e_euc,long,5.0,10.0,0.2524850816970614
e_H,long,5.0,10.0,0.23853270704963037
e_pred,long,5.0,10.0,0.23780288030667623
e_U,long,5.0,10.0,-71.11678108252633
