metric,window,t0,t1,rho_hat
e_euc,early,0.0,2.0,0.8620489055037525
e_H,early,0.0,2.0,1.0067562471521634
e_pred,early,0.0,2.0,1.0813405976897685
e_U,early,0.0,2.0,2.0135124943043365
e_euc,mid,2.0,10.0,0.6426892107245261
e_H,mid,2.0,10.0,0.6459992025367495
e_pred,mid,2.0,10.0,0.648800053343097
e_U,mid,2.0,10.0,1.2919984051158173
e_euc,full,0.0,10.0,0.6624479167558559
e_H,full,0.0,10.0,0.679518145733832
e_pred,full,0.0,10.0,0.690664848785157
e_U,full,0.0,10.0,1.359036291496032
e_euc,long,5.0,10.0,0.6386734002271887
e_H,long,5.0,10.0,0.6392461678081842
e_pred,long,5.0,10.0,0.6397531003995326
e_U,long,5.0,10.0,1.2784923357095246
